,name,desc,angel_url,location,employees,raised,website,angel_id
0,Cleargraph,Zero-friction identity verification,https://angel.co/cleargraphinc,San Francisco,1-10,9900000.0,https://cleargraph.com/careers.html,3405248
1,Kylie.ai,Kylie Leverages AI to Clone Enterprise Support Agents to Automate Conversations,https://angel.co/kylieai,San Francisco,1-10,9900000.0,http://www.kylie.ai,3399236
2,IFTTT,Do more with the services you love,https://angel.co/ifttt,San Francisco,11-50,37000000.0,https://ifttt.com,26564
3,CrowdFlower,The essential human-in-the-loop platform for data science teams,https://angel.co/crowdflower,San Francisco,51-200,38000000.0,http://www.crowdflower.com,32119
4,Ripple,"Instant, certain, low-cost cross-border payments.",https://angel.co/ripple-labs,San Francisco,51-200,86500000.0,http://www.ripple.com,197974
5,Pinterest,"Discover recipes, home ideas, style inspiration and other ideas to try.",https://angel.co/pinterest,San Francisco,501-1000,1448500000.0,http://www.pinterest.com,281
6,Pomello,Data-Driven HR Platform,https://angel.co/pomello,San Francisco,1-10,28000.0,http://www.pomello.com,646148
7,Revfluence,Scalable Content Powered by Influencers,https://angel.co/revfluence,San Francisco,11-50,2400000.0,http://www.revfluence.com/?utm_source=angellist,517211
8,Binti,Helping children join loving families,https://angel.co/binti,San Francisco,1-10,9900000.0,https://binti.com,355421
9,Mux,Build better video: Stream and measure video on any device,https://angel.co/mux,San Francisco,11-50,11800000.0,https://mux.com,2084485
10,Rocksbox,Transforming the way women discover and buy jewelry.,https://angel.co/rocksbox,San Francisco,11-50,10200000.0,http://www.rocksbox.com,81947
11,AnyRoad,Experience Relationship Management.,https://angel.co/anyroad,San Francisco,11-50,9900000.0,http://anyroad.com,111266
12,Orion,Orion is a platform for real-time voice communication everywhere. ,https://angel.co/orion-labs,San Francisco,11-50,33500000.0,https://www.orionlabs.io,183029
13,Taulia,"Connecting businesses to boost worldwide economic growth, one invoice at a time",https://angel.co/taulia,San Francisco,201-500,142800000.0,http://www.taulia.com,639
14,PlushCare,"Get diagnosed, treated, and prescribed medication by top doctors via smartphone now. ",https://angel.co/plushcare,San Francisco,11-50,8880000.0,http://www.plushcare.com,402108
15,Polymorph,Machine learning driven revenue intelligence platform,https://angel.co/polymorphlabs,San Francisco,11-50,10500000.0,http://www.getpolymorph.com,125045
16,Enki,Personalized continuous learning for tech skills,https://angel.co/enki,San Francisco,11-50,700000.0,http://enki.com,667561
17,Particle,The full-stack Internet of Things platform. Connect your devices to the web.,https://angel.co/particle,San Francisco,11-50,30400000.0,https://www.particle.io,88813
18,Buffer,"Intuitive, streamlined social media management",https://angel.co/buffer,San Francisco,51-200,3900000.0,http://buffer.com,21604
19,Lob,Print and Mail API (YC S13),https://angel.co/lob,San Francisco,11-50,29400000.0,https://www.lob.com,167051
20,IfOnly,"IfOnly delivers extraordinary experiences with top talent in sports, music, entertainment, food, wine, golf, tennis and more, all while benefiting deserving non-profits.",https://angel.co/ifonly,San Francisco,51-200,25300000.0,http://www.ifonly.com,285639
21,Plaid,Infrastructure and API's to power FinTech,https://angel.co/plaid,San Francisco,51-200,59300000.0,https://plaid.com,61714
22,Pocket Gems,Pioneering mobile games and entertainment,https://angel.co/pocket-gems,San Francisco,201-500,65000000.0,http://www.pocketgems.com,41212
23,Expa,Expa builds companies,https://angel.co/expa,San Francisco,11-50,150000000.0,http://www.expa.com,202539
24,Maker,Content engagement platform for commerce,https://angel.co/maker,San Francisco,1-10,9900000.0,http://maker.me/,79594
25,Yogome,Learning Games Platform for Kids,https://angel.co/yogome,San Francisco,1-10,36500000.0,http://yogome.com,58611
26,Zendrive,Making roads safer with data and analytics.,https://angel.co/zendrive,San Francisco,11-50,16500000.0,http://www.zendrive.com,161392
27,MixRank,Competitive Sales Intelligence,https://angel.co/mixrank,San Francisco,11-50,1500000.0,http://mixrank.com,26190
28,LendUp,We build products for the underbanked that improve financial health. ,https://angel.co/lendup,San Francisco,201-500,261500000.0,http://www.lendup.com,79622
29,Zinc,An Ecommerce Plumbing Company (YC W14),https://angel.co/zinc-technologies,San Francisco,11-50,9900000.0,https://zinc.io,496729
30,Hipcamp,Discover and book original camping experiences,https://angel.co/hipcamp,San Francisco,11-50,2000000.0,http://www.hipcamp.com/,215222
31,Looklive,Community and Marketplace for Men's fashion.,https://angel.co/looklive,San Francisco,1-10,9900000.0,https://www.looklive.com,1872365
32,Naytev,(YC S14) A/B testing for how content appears on social media,https://angel.co/naytev,San Francisco,1-10,1300000.0,http://www.naytev.com,359410
