,company_name,description,website,funding,industries,num_employees,headquarters,founded_date,industry_groups,full_description,filter
0,ABYA,ABYA is a developer and provider technological components for the creation of graphic virtualization cloud-gaming solutions.,https://www.abya.tech/,750000.0," Media and Entertainment, Software",01 to 10 ," East Setauket, New York, United States",2018," Media and Entertainment, Software","ABYA is a developer and provider of technological components for the creation of graphic virtualization cloud gaming solutions. The company offers bleeding-edge real-time graphics processing designed for the datacenter and designed to as much user concurrency as needed, it is a multiplatform client design allowing integration to new devices with very little effort and a real-time software development that allows the delivery of top quality games without delay, allowing to play the newest videogames on-demand by streaming them from the cloud to any device.",Software-2018
1,Agamon,Agamon is an AI-powered healthcare platform that converts clinical text into structured data.,https://www.agamonhealth.com,3000000.0," Artificial Intelligence, Big Data, Health Care, Natural Language Processing",01 to 10 ," New York, New York, United States",2018," Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software","Agamon is a healthcare AI platform uses advanced techniques to structure clinical texts and surface critical insights. Agamon is transforming clinical data into knowledge; unleashing the power of previously unused medical documents to drive dramatic advancements in healthcare and medicine. The result? Increased revenue, reduced risk and liability, automated workflows, and improved patient satisfaction.
Agamon’s proprietary technology uses advanced techniques to structure clinical texts and unlock critical insights. Founded by a team of intellectually curious technologists, doctors and entrepreneurs, Agamon is powering innovation in the healthcare industry, united by a single mission: to transform clinical data into knowledge.",Software-2018
2,Agape,Agape is a platform scientifically designed to strengthen romantic relationships through personalized daily questions.,https://www.theagapeapp.com/,75000.0," Developer Platform, Information Services, Information Technology, Software, Wellness",01 to 10 ," Rochester, New York, United States",2018," Health Care, Information Technology, Software","Agapé is a platform scientifically designed to strengthen romantic relationships through personalized daily questions.

Agape is a mobile platform that uses 5 steps - communication, affirmation, reflection, investment, and council - to provide a daily way to strengthen your relationship in three minutes or less. It was founded in 2018 and based in Rochester, New York.",Software-2018
3,Agave,Agave is a free hiring platform that offers job postings.,https://www.agave.com/,1000000.0," Recruiting, SaaS, Software, Staffing Agency",01 to 10 ," Palo Alto, California, United States",01-01-18 0:00," Administrative Services, Professional Services, Software","Agave is a free hiring platform that offers job postings, hosted career pages, customer relationship management tools and full API read and write access. Today's hiring software is slow, expensive, and painful. They are on a mission to make hiring software faster, better, and cost-effective.",Software-2018
4,Agita Labs,Agita Labs develops privacy-enhanced computing architectures that facilitate the creation of new data markets.,http://www.agitalabs.com/,3149992.0," Cloud Computing, Cyber Security, Privacy",01 to 10 ," Ann Arbor, Michigan, United States",2018," Information Technology, Internet Services, Privacy and Security, Software","Agita Labs is a new startup in Ann Arbor, Michigan. The company is developing next-generation privacy-enhanced computing architectures that will facilitate the creation of new data markets while protecting data IP rights and respecting personal information.",Software-2018
5,Agoric,"Agoric provides a framework for programming smart contracts securely and with ease, beyond anything available today.",https://agoric.com/,4000000.0," Blockchain, Cryptocurrency, Developer Platform, E-Commerce Platforms, Software",01 to 10 ," San Francisco, California, United States",2018," Commerce and Shopping, Financial Services, Internet Services, Other, Payments, Software","Agoric is a framework that provides security and ease in programming smart contracts, beyond anything available today. Agoric’s mission is to provide a secure smart contracts framework to the entire blockchain ecosystem. With Agoric, which makes it easier to build and deploy smart contracts in JavaScript, millions of programmers worldwide will have safer, simpler tools to build smart contracts and applications. In addition, composability enables rapid development and competitive advantage. With secure smart contracts, we envision unprecedented, widespread forms of global cooperation, and entrepreneurs creating fundamentally new businesses enabled by digital assets. Agoric is here to make that opportunity a reality.

The Agoric team includes world-class technologists, economists, business leaders and community builders on a quest to bring smart contracts into the future. Members of the Agoric team have been professional collaborators in smart contracts technology for over 30 years, and have now reunited to enact this mission. Agoric has collaborated with Cosmos and other well-known projects, and is backed by Outlier Ventures, Kilowatt Capital, gumi Cryptos Capital, MetaStable Capital, Lemniscap, Xpring, Rockaway Blockchain and the Interchain Foundation, as well as additional funding from Naval Ravikant and Polychain.",Software-2018
6,Agreemint,The Search for Faster Closes Ends Here.,https://www.agreemint.com/,70000.0," Artificial Intelligence, Information Technology, Insurance, Legal Tech",01 to 10 ," San Francisco, California, United States",2018," Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Professional Services, Science and Engineering, Software","Through the Agreemint Contract Platform AI, users interact in a more efficient way, creating a contract workflow that delights everyone - legal or non-legal. 

.",Software-2018
7,Aligned Carbon,"Aligned Carbon is a supplier of aligned carbon nanotubes, enabling 1000x improvement in computing.",https://www.alignedcarbon.com/,1047000.0," Computer, Information Technology, Nanotechnology",01 to 10 ," Santa Clara, California, United States",2018," Consumer Electronics, Hardware, Information Technology, Science and Engineering","Aligned Carbon is a supplier of aligned carbon nanotubes, enabling 1000x improvement in computing. It has provided its product of wafer-scale aligned carbon nanotube arrays to more than a dozen university research groups and industrial research labs.

Aligned Carbon was formed in early 2018 by three friends and labmates from Stanford University. Collectively Aligned Carbon’s team represents over 35 years of nanotechnology experience with 100+ peer-reviewed publications and inventorship for 15+ patents.",Software-2018
8,Allelica,Allelica is a genomics software company driving the transition of Polygenic Risk Score from Genomic research to clinical application.,https://www.allelica.com/,1750000.0," Biotechnology, Genetics, Health Care, Life Science, Machine Learning, Medical, Predictive Analytics",01 to 10 ," New York, New York, United States",01-01-18 0:00," Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Allelica is a genomics software company driving the transition of Polygenic Risk Score from Genomic research to clinical application. The company uses cutting-edge genomics technology and machine learning algorithms to accelerate research and translational clinical genomics in Precisione Medicine. 

It was founded in 2018 and is headquartered in New York, United States.",Software-2018
9,ampcontrol.io,ampcontrol.io is an AI-based optimization software for electric vehicle charging to build more charging stations at low costs.,https://www.ampcontrol.io/,1100000.0," Artificial Intelligence, Electric Vehicle, Energy, Machine Learning, Power Grid, Smart Cities, Smart Home",01 to 10 ," New York, New York, United States",2018," Artificial Intelligence, Consumer Electronics, Data and Analytics, Energy, Real Estate, Science and Engineering, Software, Transportation","ampcontrol.io is an AI-based optimization software for electric vehicle charging. Companies use ampcontrol's API to reduce charging costs. The company has paying customers. The founder, Joachim Lohse is a software engineer and former energy markets consultant at PwC.",Software-2018
10,ANOVA Intelligence,US intelligence agency-grade forensic analysis and critical intel.,https://ANOVAintel.com,85000.0," Analytics, Artificial Intelligence, Big Data, Cyber Security, Predictive Analytics",01 to 10 ," Silver Spring, Maryland, United States",2018," Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","We find nation-state malware that others miss because we scan where others can't. ANOVA leverages AI and deep learning to automate vRAM forensic analysis, incident verification, data integrity anomaly detection and cyberconflict prediction across distributed networks, unsupervised and at scale. We arm enterprise and industrial high-value targets with the deep forensics and critical intel they require.",Software-2018
11,Apres,Apres is an analytics platform built to scale and explain AI decision making.,http://www.apres.io,1663411.0," Analytics, Artificial Intelligence, Developer APIs, Machine Learning, SaaS",01 to 10 ," San Francisco, California, United States",2018," Artificial Intelligence, Data and Analytics, Science and Engineering, Software","Apres is an analytics platform built to scale and explain AI decision making. It gives a real view of machine decision making and creates a safer, more reliable future.

Their team comes from backgrounds in artificial intelligence and analytics - from Financial Services to Enterprise SaaS.

It was founded in 2018 and is based in San Francisco, California.",Software-2018
12,Aquifer Motion,Aquifer Motion is a SaaS platform that enables creators and teams create studio-level animated video without studios.,https://www.aquifermotion.com/,1334473.0," 3D Technology, Media and Entertainment, SaaS, Software",01 to 10 ," Austin, Texas, United States",2018," Hardware, Media and Entertainment, Software","With Aquifer, anyone can create cinematic, animated content. Our mobile technology transfers your voice and facial expressions to an animated character, capturing all the nuances of human emotion. The resulting video is a cinematically rendered character in a 3d scene. By using machine learning and automation, we remove the frustrating, technical aspects of animation so the focus is on storytelling. The platform combines augmented reality and machine learning to make professional 3D animation accessible for all creators.


Aquifer Motion was founded in 2018 and is based in Austin, Texas, USA.",Software-2018
13,ARI Recruiting,ARI Recruiting is an intelligent recruiting software that tracks athletes and provides feedback for enhanced decision making.,https://arirecruiting.com/,1500000.0," Computer, Recruiting, Software",01 to 10 ," Austin, Texas, United States",01-01-18 0:00," Consumer Electronics, Hardware, Professional Services, Software",,Software-2018
