,company_name,description,website,industries,num_employees,headquarters,founded_date,industry_groups,full_description,filter
0,1 Accord Technologies,"1 Accord Technologies has been providing professional IT Support for businesses, strive to give clients Enterprise-level services.",https://www.ashton-group.com/," Consulting, Cyber Security, Hardware, IT Management, Software",01 to 10 ," Eatonton, Georgia, United States",2018," Hardware, Information Technology, Privacy and Security, Professional Services, Software",,Software-2018
1,1005 Ventures,Venture Capital,http://www.1005ventures.com," Information Technology, Internet, Venture Capital",01 to 10 ," San Francisco, California, United States",2018," Financial Services, Information Technology, Internet Services, Lending and Investments",1005 ventures is set up to invest in start-ups around the world.,Software-2018
2," 1533 Systems, Inc. ","Live Data platform, ingest, process, respond and operate Live Data systems at any scale.",http://1533.io," Analytics, Information Technology, Software, Video Streaming",01 to 10 ," Campbell, California, United States",2018," Content and Publishing, Data and Analytics, Information Technology, Media and Entertainment, Software, Video","1533 Systems is building the next generation data processing platform, specializing in Live Data- where speed, scale, and operational stability are all critical. 
Driveline, its main product, is an all-in-one, tightly integrated platform for ingesting, analyzing and storing Live Data. 
From IoT event streams to large scale Video processing. 
By providing the highest levels of efficiency, and configurable reliability, Driveline scales all the way from embedded devices to government scale problems.",Software-2018
3,17 TeraWatts,17 TeraWatts is a clean energy software company.,https://www.17terawatts.com/," Clean Energy, Energy, Information Technology, Software",01 to 10 ," Austin, Texas, United States",01-01-18 0:00," Energy, Information Technology, Software, Sustainability",,Software-2018
4,3DIQ,"3DIQ makes it beyond easy for recruiters to edit, format, and get real-time feedback on candidate submittals.",https://www.3diq.com," Recruiting, Software",01 to 10 ," Knoxville, Tennessee, United States",2018," Professional Services, Software","3DIQ is a recruiter’s secret weapon. We make it beyond easy for recruiters to edit,
format and submit resumes. Client engagement skyrockets with a real-time
feedback loop and unparalleled visibility into hiring decisions. Purpose-built by
staffing veterans to work within Bullhorn without leaving the ATS, 3DIQ is the first
and only product of its kind. Recruiters and clients alike value its practical and
powerful candidate submittal functionality.",Software-2018
5,3P Touch Media,3P Touch Media is a mobile application development start-up.,https://www.3ptouchmedia.com/," Apps, Mobile Apps, Software",01 to 10 ," Pasadena, California, United States",01-01-18 0:00," Apps, Mobile, Software",,Software-2018
6,4Di,"4Di is a data analytics platform for architecture, engineering and construction industries.",https://4di.ai/," Asset Management, Information Technology, Machine Learning, Software",01 to 10 ," Boston, Massachusetts, United States",01-01-18 0:00," Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Software",,Software-2018
7,ABYA,ABYA is a developer and provider technological components for the creation of graphic virtualization cloud-gaming solutions.,https://www.abya.tech/," Media and Entertainment, Software",01 to 10 ," East Setauket, New York, United States",2018," Media and Entertainment, Software","ABYA is a developer and provider of technological components for the creation of graphic virtualization cloud gaming solutions. The company offers bleeding-edge real-time graphics processing designed for the datacenter and designed to as much user concurrency as needed, it is a multiplatform client design allowing integration to new devices with very little effort and a real-time software development that allows the delivery of top quality games without delay, allowing to play the newest videogames on-demand by streaming them from the cloud to any device.",Software-2018
8,Accelitude LLC,Accelitude LLC   is an IT company that deals with IT digital & cloud services solutions.,https://accelitude.com/," Cloud Security, Information Technology, IT Management",01 to 10 ," Powell, Ohio, United States",01-01-18 0:00," Information Technology, Privacy and Security",,Software-2018
9,Accelor,Accelor provides hardware solutions intended for Blockchain and AI businesses.,http://www.accelor.io/," Hardware, Software",01 to 10 ," Sunnyvale, California, United States",01-01-18 0:00," Hardware, Software",,Software-2018
10,Accounting Panel,Accounting Panel is a cloud-based accounting tool designed to help entrepreneurs control their business finances anytime and anywhere.,https://accountingpanel.com/," Accounting, Information Technology, Software",01 to 10 ," Newark, Delaware, United States",01-01-18 0:00," Financial Services, Information Technology, Professional Services, Software",,Software-2018
11,ACE IoT Solutions,"ACE IoT Solutions offers a secure managed platform for collecting, aggregating, and visualizing the facility's operations.",https://aceiotsolutions.com," Information Services, Information Technology, Software",01 to 10 ," Chattanooga, Tennessee, United States",2018," Information Technology, Software",,Software-2018
12,Acsibi Studios,"Acsibi Studios is a mobile game development company located in Acton, MA.",http://www.acsibistudios.com/," Casual Games, Gaming, Mobile",01 to 10 ," Acton, Massachusetts, United States",2018," Gaming, Mobile",,Software-2018
13,ACTIO,ACTIO is a modular based Software as a Service analytics platform designed for restaurant services.,https://www.actioanalytics.com/," Analytics, Data Integration, SaaS, Software",01 to 10 ," Tampa, Florida, United States",2018," Data and Analytics, Information Technology, Software","ACTIO is an information technology company that features a modular-based Software as a Service analytics platform designed for restaurant services. It offers a syndicated database that can be customized by its users.

The company was founded in 2018 and headquartered in Tampa, Florida.",Software-2018
14,Activeconnect,"Activeconnect works on all types of devices and operating systems for every transaction including iOS, Android, Windows, and Mac OS.",https://www.activeconnect.io," Cyber Security, Identity Management, Information Technology, Internet",01 to 10 ," Los Angeles, California, United States",2018," Information Technology, Internet Services, Privacy and Security","Activeconnect works on all types of devices and operating systems for every transaction including iOS, Android, Windows, and Mac OS. We provide a well-documented API and everything needed to build applications that have frictionless step-up authentication without needing passwords. Activeconnect’s technology powers authentication for any platform, web application, mobile application, software, and just about everything that needs user authentication and secure transactions.

We help our Clients Avoid Account Takeover (ATO), reduce fraud and enable frictionless security steps to make any transaction secure, easy, cost-effective, and instantly scalable.",Software-2018
15,Acuity PPM,Lightweight project portfolio management (PPM) software for new PMO's,https://acuityppm.com/,Software,01 to 10 ," Bellevue, Washington, United States",2018,Software,,Software-2018
16,ACW Analytics,We deliver insights that help asset managers plan for and react to extreme weather events,https://www.acw-analytics.com/," Artificial Intelligence, Information Technology, InsurTech, Machine Learning, Predictive Analytics, Software",01 to 10 ," Stamford, Connecticut, United States",2018," Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Science and Engineering, Software","We build machine learning models that predict the impact of extreme weather and climate on infrastructure assets. Our Assistive AI solutions can be used for real-time operations, resilience planning, financial risk management & underwriting",Software-2018
17,Ad Fontes Media,"Ad Fontes Media is a Public Benefit Corporation that rates the news. It was founded by Vanessa Otero, creator of the Media Bias Chart®.",https://www.adfontesmedia.com/," E-Learning, EdTech, Higher Education, Journalism, Media and Entertainment, News, Social Entrepreneurship, Social Impact, Software",01 to 10 ," Lafayette, Colorado, United States",2018," Community and Lifestyle, Content and Publishing, Education, Media and Entertainment, Other, Software","Ad Fontes Media, Inc. is a company founded in 2018 by Vanessa Otero, creator of the Media Bias Chart®. The mission of Ad Fontes Media is “to make news consumers smarter and news media better.”

Ad Fontes rates the news for reliability and bias to help people navigate the news landscape. Ad Fontes is Latin for “to the source,” because at the heart of what Ad Fontes Media does is look at the source—analyze the very content itself—to rate it. Ad Fontes has created a system of news content ratings that has beneficial applications for all stakeholders in a healthy news media landscape, including consumers, educators, journalism outlets, researchers, advertisers, and social media platforms. Ad Fontes currently creates ratings with a small team of human analysts who have political views from across the spectrum. The analysts are trained to look at the content of the news and score it according to a consistent methodology. Ad Fontes provides the news source ratings themselves as a reference product for consumers and educators—mainly through through its widely known Media Bias Chart. Ad Fontes also now offers a software platform for educators to teach students how to rate the news using its approach.


Ad Fontes Media is incorporated as a Public Benefit Corporation (PBC) in Colorado. The stated public benefit of Ad Fontes Media is the same as its mission. It is currently funded by its founder, by a crowdfunding campaign which ran in late 2018,  by sales of licenses, prints, data products, and educational products, and by donations (non-tax-deductible) by individuals who believe in its mission.",Software-2018
18,Ad Genius,Ad Genius provides marketing solutions based on exceptional technical talent and creative power.,https://www.ad-genius.com/," Advertising, Information Technology, Marketing",01 to 10 ," Charleston, South Carolina, United States",2018," Advertising, Information Technology, Sales and Marketing","Ad Genius provides marketing solutions based on exceptional technical talent and creative power fueled by a multi-million dollar tech platform.

What We Believe	Ad Genius uses an approach we call people based marketing at scale, and is all about identity and analytics. What we do comes down to STEM – Science, Technology, Engineering, and Math. This approach provides leading-edge solutions with accountable results, excellent user experience, and sustainability.	

The Upshot	Technology today can help marketers realize the potential of serving customers the kind of meaningful interaction that used to only happen in real life. Like the nice couple at the farmers market who know your name and the way you take your coffee, technology now exists to create experiences that are light on friction and rich with personalized surprise and delight.	

Our Values	Doing things right by our clients, partners, and teammates, operating with values founded on authentic mutual respect, and an appreciation of our limited environmental resources.",Software-2018
19,Aersys Inc.,Automated MicroFulfillment Centers for Drone and Rover Deliveries.,http://www.aersys.io/," Infrastructure, Software",01 to 10 ," New Brunswick, New Jersey, United States",01-01-18 0:00," Other, Software","Aersys Inc. is an early-stage tech startup that is developing a network of automated micro-fulfillment centers to enable commercial-scale automated delivery with drones, rovers and other vehicles.",Software-2018
20,Agamon,Agamon is an AI-powered healthcare platform that converts clinical text into structured data.,https://www.agamonhealth.com," Artificial Intelligence, Big Data, Health Care, Natural Language Processing",01 to 10 ," New York, New York, United States",2018," Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software","Agamon is a healthcare AI platform uses advanced techniques to structure clinical texts and surface critical insights. Agamon is transforming clinical data into knowledge; unleashing the power of previously unused medical documents to drive dramatic advancements in healthcare and medicine. The result? Increased revenue, reduced risk and liability, automated workflows, and improved patient satisfaction.
Agamon’s proprietary technology uses advanced techniques to structure clinical texts and unlock critical insights. Founded by a team of intellectually curious technologists, doctors and entrepreneurs, Agamon is powering innovation in the healthcare industry, united by a single mission: to transform clinical data into knowledge.",Software-2018
21,Agape,Agape is a platform scientifically designed to strengthen romantic relationships through personalized daily questions.,https://www.theagapeapp.com/," Developer Platform, Information Services, Information Technology, Software, Wellness",01 to 10 ," Rochester, New York, United States",2018," Health Care, Information Technology, Software","Agapé is a platform scientifically designed to strengthen romantic relationships through personalized daily questions.

Agape is a mobile platform that uses 5 steps - communication, affirmation, reflection, investment, and council - to provide a daily way to strengthen your relationship in three minutes or less. It was founded in 2018 and based in Rochester, New York.",Software-2018
22,Agave,Agave is a free hiring platform that offers job postings.,https://www.agave.com/," Recruiting, SaaS, Software, Staffing Agency",01 to 10 ," Palo Alto, California, United States",01-01-18 0:00," Administrative Services, Professional Services, Software","Agave is a free hiring platform that offers job postings, hosted career pages, customer relationship management tools and full API read and write access. Today's hiring software is slow, expensive, and painful. They are on a mission to make hiring software faster, better, and cost-effective.",Software-2018
23,Agita Labs,Agita Labs develops privacy-enhanced computing architectures that facilitate the creation of new data markets.,http://www.agitalabs.com/," Cloud Computing, Cyber Security, Privacy",01 to 10 ," Ann Arbor, Michigan, United States",2018," Information Technology, Internet Services, Privacy and Security, Software","Agita Labs is a new startup in Ann Arbor, Michigan. The company is developing next-generation privacy-enhanced computing architectures that will facilitate the creation of new data markets while protecting data IP rights and respecting personal information.",Software-2018
24,Agnes Intelligence,Artificial Intelligence,http://agnesintel.com," Artificial Intelligence, Big Data, Ediscovery, Legal, Podcast, Speech Recognition",01 to 10 ," Brooklyn, New York, United States",01-01-18 0:00," Artificial Intelligence, Data and Analytics, Internet Services, Media and Entertainment, Music and Audio, Professional Services, Science and Engineering, Software","Agnes Intelligence attracts, nurtures, and partners with the best AI talent in the world. 

We give our engineers the most advanced technology and infrastructure and partner with industry experts to develop and implement high-value AI solutions.
",Software-2018
25,Agoric,"Agoric provides a framework for programming smart contracts securely and with ease, beyond anything available today.",https://agoric.com/," Blockchain, Cryptocurrency, Developer Platform, E-Commerce Platforms, Software",01 to 10 ," San Francisco, California, United States",2018," Commerce and Shopping, Financial Services, Internet Services, Other, Payments, Software","Agoric is a framework that provides security and ease in programming smart contracts, beyond anything available today. Agoric’s mission is to provide a secure smart contracts framework to the entire blockchain ecosystem. With Agoric, which makes it easier to build and deploy smart contracts in JavaScript, millions of programmers worldwide will have safer, simpler tools to build smart contracts and applications. In addition, composability enables rapid development and competitive advantage. With secure smart contracts, we envision unprecedented, widespread forms of global cooperation, and entrepreneurs creating fundamentally new businesses enabled by digital assets. Agoric is here to make that opportunity a reality.

The Agoric team includes world-class technologists, economists, business leaders and community builders on a quest to bring smart contracts into the future. Members of the Agoric team have been professional collaborators in smart contracts technology for over 30 years, and have now reunited to enact this mission. Agoric has collaborated with Cosmos and other well-known projects, and is backed by Outlier Ventures, Kilowatt Capital, gumi Cryptos Capital, MetaStable Capital, Lemniscap, Xpring, Rockaway Blockchain and the Interchain Foundation, as well as additional funding from Naval Ravikant and Polychain.",Software-2018
26,Agreemint,The Search for Faster Closes Ends Here.,https://www.agreemint.com/," Artificial Intelligence, Information Technology, Insurance, Legal Tech",01 to 10 ," San Francisco, California, United States",2018," Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Professional Services, Science and Engineering, Software","Through the Agreemint Contract Platform AI, users interact in a more efficient way, creating a contract workflow that delights everyone - legal or non-legal. 

.",Software-2018
27,Akava,"Akava specializes in software engineering, DevOps, design, product and project management services to its clients.",https://www.akava.io," Consulting, Project Management, Software Engineering",01 to 10 ," San Francisco, California, United States",2018," Administrative Services, Other, Professional Services, Science and Engineering, Software",,Software-2018
28,Akita Software,Akita builds dynamic application programming interface models for software programming and integration.,https://www.akitasoftware.com/," Cloud Computing, Developer APIs, Information Technology",01 to 10 ," San Francisco, California, United States",2018," Information Technology, Internet Services, Software",,Software-2018
29,Aligned Carbon,"Aligned Carbon is a supplier of aligned carbon nanotubes, enabling 1000x improvement in computing.",https://www.alignedcarbon.com/," Computer, Information Technology, Nanotechnology",01 to 10 ," Santa Clara, California, United States",2018," Consumer Electronics, Hardware, Information Technology, Science and Engineering","Aligned Carbon is a supplier of aligned carbon nanotubes, enabling 1000x improvement in computing. It has provided its product of wafer-scale aligned carbon nanotube arrays to more than a dozen university research groups and industrial research labs.

Aligned Carbon was formed in early 2018 by three friends and labmates from Stanford University. Collectively Aligned Carbon’s team represents over 35 years of nanotechnology experience with 100+ peer-reviewed publications and inventorship for 15+ patents.",Software-2018
30,Allelica,Allelica is a genomics software company driving the transition of Polygenic Risk Score from Genomic research to clinical application.,https://www.allelica.com/," Biotechnology, Genetics, Health Care, Life Science, Machine Learning, Medical, Predictive Analytics",01 to 10 ," New York, New York, United States",01-01-18 0:00," Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Allelica is a genomics software company driving the transition of Polygenic Risk Score from Genomic research to clinical application. The company uses cutting-edge genomics technology and machine learning algorithms to accelerate research and translational clinical genomics in Precisione Medicine. 

It was founded in 2018 and is headquartered in New York, United States.",Software-2018
31,ampcontrol.io,ampcontrol.io is an AI-based optimization software for electric vehicle charging to build more charging stations at low costs.,https://www.ampcontrol.io/," Artificial Intelligence, Electric Vehicle, Energy, Machine Learning, Power Grid, Smart Cities, Smart Home",01 to 10 ," New York, New York, United States",2018," Artificial Intelligence, Consumer Electronics, Data and Analytics, Energy, Real Estate, Science and Engineering, Software, Transportation","ampcontrol.io is an AI-based optimization software for electric vehicle charging. Companies use ampcontrol's API to reduce charging costs. The company has paying customers. The founder, Joachim Lohse is a software engineer and former energy markets consultant at PwC.",Software-2018
32,anna,anna is the first AI-powered self-checkout solution designed to meet the specific needs of cannabis retailers.,https://www.tryanna.com/," Artificial Intelligence, Cannabis, Retail, Software",01 to 10 ," Boulder, Colorado, United States",2018," Artificial Intelligence, Commerce and Shopping, Community and Lifestyle, Data and Analytics, Food and Beverage, Health Care, Science and Engineering, Software","anna is the first AI-powered self-checkout solution designed to meet the specific needs of cannabis retailers. anna cracks the code for bringing today's advancements in retail automation to the dispensary floor, while delivering a seamless consumer experience that is equally suited for the booming demands of the CBD industry. anna facilitates fast, cost-effective, and fully-compliant transactions that maximize revenue per square foot and lower operational costs for THC and CBD retailers.",Software-2018
33,AnnoTex,AnnoTex is a PDF annotator software that allows users to write math equations and chemical structures.,," Information Technology, Software",01 to 10 ," Berkeley, California, United States",2018," Information Technology, Software","AnnoTex is a PDF annotator software that allows users to write math equations and chemical structures. The company was founded by Achyuta Iyengar and Kavi Vaidya and is based in Berkeley, California, United States.",Software-2018
34,ANOVA Intelligence,US intelligence agency-grade forensic analysis and critical intel.,https://ANOVAintel.com," Analytics, Artificial Intelligence, Big Data, Cyber Security, Predictive Analytics",01 to 10 ," Silver Spring, Maryland, United States",2018," Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","We find nation-state malware that others miss because we scan where others can't. ANOVA leverages AI and deep learning to automate vRAM forensic analysis, incident verification, data integrity anomaly detection and cyberconflict prediction across distributed networks, unsupervised and at scale. We arm enterprise and industrial high-value targets with the deep forensics and critical intel they require.",Software-2018
35,Ansatz AI,Ansatz AI develops machine learning tools for the design and optimization of chemical and material technologies.,https://www.ansatzai.com/," Artificial Intelligence, Chemical, Computer, Machine Learning",01 to 10 ," Pittsburgh, Pennsylvania, United States",01-01-18 0:00," Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",,Software-2018
36,AnyLog,AnyLog is building a next generation decentralized IoT platform where data owners can capture the full value of their data on the blockchain,http://anylog.co/," Blockchain, Database, Internet of Things",01 to 10 ," Palo Alto, California, United States",2018," Data and Analytics, Internet Services, Other, Software","AnyLog is building a distributed network to manage the IoT data. Using a unique and innovative approach (leveraging distributed network and blockchain), AnyLog allows users to store, share, query, and monetize the IoT data in real time, with no reliance on a centralized authority.

AnyLog inherently solves the problems of scalability, real time availability and high costs associated with the huge amounts of IoT data and it replaces the IoT silos of data with a global and unified  platform to manage the IoT data. In the same way that that Google offers a unified interface to the websites data, AnyLog offers a unified interface to the IoT data.
",Software-2018
37,Aori,"A set of tools to help you conquer Google, Bing and Facebook Ads",https://aori.com/," Advertising, Advertising Platforms, Digital Media, Internet, Semantic Search, Social Media, Software",01 to 10 ," New York, New York, United States",01-01-18 0:00," Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software",,Software-2018
38,Apaly Health,Apaly Health enables employers and providers to direct contract at scale.,https://www.apaly.com/," Computer Vision, Health Care, Software",01 to 10 ," Tampa, Florida, United States",2018," Hardware, Health Care, Software","Apaly Health enables employers and providers to direct contract at scale.Apaly Health was founded by a veteran doctor, technologist,and entrepreneur, who envisioned a healthcare system that is patient centric, driven by higher quality, direct, and enabled by advanced technology.  Through the use of blockchain technology, Apaly Health is creating a transparent, cost-effective solution that is more secure, faster, and more efficient.",Software-2018
39,APEX,"APEX app enables users to select a driver of their choice, or their favorite Uber/Lyft drivers in advance (for rideshare & delivery).",https://apexmobileapp.com," Android, Apps, iOS, Logistics, Mobile Apps, Mobile Payments, Software",01 to 10 ," Richmond, Virginia, United States",2018," Apps, Financial Services, Mobile, Payments, Platforms, Software, Transportation",,Software-2018
40,apiphani,"apiphani offers strategic & operational consulting, database management, and managed services.",https://www.apiphani.io," Consulting, Database, Information Services, Information Technology",01 to 10 ," Boston, Massachusetts, United States",2018," Data and Analytics, Information Technology, Professional Services, Software",,Software-2018
41,Apoll01,"Apoll01 is an open platform for surfacing needs of education institutions, collaborating, and reaching consensus to establish standards.",http://www.apoll01.com," Education, Information Services, Information Technology",01 to 10 ," San Francisco, California, United States",2018," Education, Information Technology","Apoll01 is an open platform for surfacing needs of education institutions, collaborating, and reaching consensus to establish standards.

APoll01 Nation is an open, tokenized community committed to accelerating the development of an education ecosystem around decentralized profiles, while documenting data standards and implementation guidelines for partner schools and EdTech companies to utilize.",Software-2018
42,App Growth Experts,App Growth Experts helps mobile app publishers and developers discover how to increase their app’s performance & sustainability.,https://appgrowthsummit.com,Mobile Apps,01 to 10 ," San Francisco, California, United States",2018," Apps, Mobile, Software",App Growth Experts helps mobile app publishers and developers discover how to increase their app’s performance & sustainability.,Software-2018
43,ApprentiScope,ApprentiScope is a computer software company.,https://apprentiscope.com," Computer, Software, Software Engineering",01 to 10 ," Burlington, Vermont, United States",2018," Consumer Electronics, Hardware, Science and Engineering, Software",,Software-2018
44,AppyHour,AppyHour is a smart marketing and business management platform.,https://www.appyhourmobile.com/," Advertising, Business Intelligence, Marketing, Productivity Tools, SaaS",01 to 10 ," Minneapolis, Minnesota, United States",2018," Advertising, Data and Analytics, Sales and Marketing, Software","AppyHour is a smart marketing and business management platform. The AppyHour platform empowers clients to better manage, understand, and grow their business from a single dashboard. It provides tools that engage customers, drive traffic, gather insight, and intelligently optimize offers and promotions to improve performance and grow businesses.",Software-2018
45,Apres,Apres is an analytics platform built to scale and explain AI decision making.,http://www.apres.io," Analytics, Artificial Intelligence, Developer APIs, Machine Learning, SaaS",01 to 10 ," San Francisco, California, United States",2018," Artificial Intelligence, Data and Analytics, Science and Engineering, Software","Apres is an analytics platform built to scale and explain AI decision making. It gives a real view of machine decision making and creates a safer, more reliable future.

Their team comes from backgrounds in artificial intelligence and analytics - from Financial Services to Enterprise SaaS.

It was founded in 2018 and is based in San Francisco, California.",Software-2018
46,Aquifer Motion,Aquifer Motion is a SaaS platform that enables creators and teams create studio-level animated video without studios.,https://www.aquifermotion.com/," 3D Technology, Media and Entertainment, SaaS, Software",01 to 10 ," Austin, Texas, United States",2018," Hardware, Media and Entertainment, Software","With Aquifer, anyone can create cinematic, animated content. Our mobile technology transfers your voice and facial expressions to an animated character, capturing all the nuances of human emotion. The resulting video is a cinematically rendered character in a 3d scene. By using machine learning and automation, we remove the frustrating, technical aspects of animation so the focus is on storytelling. The platform combines augmented reality and machine learning to make professional 3D animation accessible for all creators.


Aquifer Motion was founded in 2018 and is based in Austin, Texas, USA.",Software-2018
47,Ara Sound Labs,Ara Sound Labs develops audio technologies for various applications.,https://www.arasoundlabs.com/," Audio, Media and Entertainment, Music, Software",01 to 10 ," Berkeley, California, United States",2018," Media and Entertainment, Music and Audio, Software",,Software-2018
