Category,Products,Activity Level,Company Description,Min Employees,Max Employees,Average Employees
marketing productivity social networks startups,desktop app mobile app service web app,low company activity detected,socialmeep builds automatic growth and marketing tools for instagram,11,50,30
design education software dev,web app,high company activity detected,an ecosystem of uiux and product design resources to help you become a more mindful designer and create better products,0,4,2
advertising marketing startups content,web app,high company activity detected,katang is an endtoend content marketing platform that facilitates cobranded content curation and distribution all for free,0,4,2
advertising e commerce media content,mobile app web app,high company activity detected,shopping assistant browser extension that provides coupons price tracks and helps users shop sustainably,5,10,7
security blockchain,mobile app,no recent company activity detected,private search engine powered by the blockchain,5,10,7
communication marketing startups sales,service web app,high company activity detected,we connect founders and help them grow,11,50,30
data productivity startups content,other desktop app mobile app web app,high company activity detected,snipply connects the content inside the apps you already use like g suite and microsoft office allowing you to keep everything in sync,5,10,7
analytics manufacturing productivity software dev,desktop app web app,high company activity detected,bipp is an enterprisegrade cloud business intelligence platform we help data analysts create faster queries  deliver sharper insights,11,50,30
productivity accounting and legal ai sales,desktop app mobile app web app,high company activity detected,through the agreemint contract ai users engage in a contract workflow that delights everyone  legal or nonlegal,0,4,2
software dev,mobile app web app,high company activity detected,bug reporting tool for mobile apps,5,10,7
data design education productivity,service web app,no recent company activity detected,online whiteboard  a tool for remote collaboration and distance learning,5,10,7
advertising marketing,desktop app,low company activity detected,automated ad ab testing for google ads,0,3,1
communication medical,mobile app,high company activity detected,mooditude is a practical modernday solution for your mental health and wellbeing,5,10,7
marketing startups,web app,sourced by startup tracker,we help agency operators streamline and gain additional insights into their websites,5,10,7
communication productivity security,mobile app web app,low company activity detected,nullbox is an email privacy service that protects the privacy of your inbox with disposable email addresses,0,1,0
advertising design marketing,web app,high company activity detected,html email builder and preview tool,5,10,7
education productivity startups,mobile app service,low company activity detected,kneebu brings in person and remote services to your doorsteps beta release scheduled in october 2020,5,10,7
analytics marketing social networks ai,mobile app web app,low company activity detected,smartbate is a platform for users to vote and create polls on issues that matter to them,5,10,7
startups bots messaging sales,web app,high company activity detected,centro is a shared inbox and salesforce connector for revenue teams to thrive in slack,0,2,1
advertising analytics marketing hr and recruitment,web app,no recent company activity detected,tribe is a global platform that matches businesses to the worlds top digital marketing talent teams and tools,11,50,30
travel,mobile app web app,low company activity detected,fareupthere is airline passenger insights company that rewards passengers for sharing their feedback on flights,0,4,2
marketing social networks startups content,other service,high company activity detected,bryan grey provides blog monetization tips for beginner bloggers who wish to grow their blogs and make money online,0,1,0
automotive marketing sales real estate,mobile app web app,sourced by startup tracker,crm solution that takes on a fullfunnel sales and marketing approach,5,10,7
advertising e commerce social networks ai,mobile app web app,high company activity detected,the first native social shopping platform for merchants influencers and shoppers,11,50,30
health productivity hr and recruitment startups,service web app,no recent company activity detected,karl is the perfect way to spread positivity by giving kudos shout outs or heaping praise for employees who go above  beyond,0,1,0
advertising consulting marketing,service web app,high company activity detected,pool marketing provides bestinclass digital marketing solutions for pool builders  pool service companies,11,50,30
design blockchain,web app,high company activity detected,browser push notification for bitcoin,0,1,0
education ai big data bots,mobile app web app,sourced by startup tracker,memorize learn new words with flashcards,11,50,30
other,web app,sourced by startup tracker,enabling ecommerce for all,11,50,30
e commerce finance software dev hospitality,mobile app service web app,no recent company activity detected,web and mobile app development company,51,100,75
finance,service web app,high company activity detected,keeper automatically finds tax write offs among your bank statements for 10 per month,5,10,7
education governmental security accounting and legal,mobile app service,high company activity detected,live recording  your rights in one click,0,4,2
analytics data marketing ai,web app,low company activity detected,privacy by design customer segmentation ai platform that predicts demographics from names providing full coverage and accuracy estimate,0,3,1
finance productivity startups software dev,mobile app service,low company activity detected,bankfolio helps people save time and money by showing them all their account balances and transactions in one place,0,2,1
productivity,web app,low company activity detected,helps freelancers limit procrastination increase focus  improve worklife balance by converting their todo list into a daily schedule,0,1,0
security startups big data software dev,web app,high company activity detected,cloudycosts helps companies save on cloud computing costs,0,4,2
startups,desktop app mobile app web app,high company activity detected,time doctor is an employee time tracking software that helps you and your team get a lot more done each day,51,100,75
other biotech health medical,service,high company activity detected,ondemand healthcare service enabling patients and doctors to connect via mobile app,11,50,30
marketing sales,desktop app,high company activity detected,automated direct mail and gifting that integrates into sales and marketing workflows,11,50,30
analytics ai,web app,high company activity detected,a drag and drop ai platform,5,10,7
biotech health ai big data,service web app,high company activity detected,the worlds most advanced platform for helping patients find better care faster,11,50,30
social networks startups,desktop app web app,no recent company activity detected,sportlo is the local sports parent hub that allows users to stay connected with their youth sports community,0,2,1
startups software dev,service web app,low company activity detected,api design first platform for developing rest and async apis,5,10,7
hr and recruitment startups ai software dev,desktop app,low company activity detected,starkflow builds high performing remote teams for you,11,50,30
data productivity bots,mobile app web app,high company activity detected,organize your project,11,50,30
other,web app,high company activity detected,waitwhile is a smart waitlist and scheduling platform that helps 10000 organizations bust their lines and create awesome wait experiences,11,50,30
advertising e commerce startups accounting and legal,web app,no recent company activity detected,100 free business planning software that increases your business startup success dramatically and takes less than 10 mins to complete,5,10,7
gaming social networks startups,web app,no recent company activity detected,webapp to play partygames like werewolf over videochat with your friends and family,0,3,1
finance health insurance travel,other service web app,high company activity detected,sonrai security delivers an enterprise security platform focused on identity and data governance inside aws azure gcp and kubernetes,11,50,30
productivity startups software dev,web app,no recent company activity detected,plan track stay aligned and achieve business objectives with your team,5,10,7
consulting productivity startups sales,mobile app,low company activity detected,onekey 1 keyboard with all your productivity apps schedule  add  take  crm  directly from your messaging apps  ,5,10,7
