,Categories,Closed Date Year,Description,Founded Date,Headquarters Location,Number of Founders,Number of Funding Rounds,Organization Name,Total Funding Amount,success
0,"Dating, Online Portals, Social",2009,Yestodate.com is an online dating platform.,2009,"Miami, Florida, United States",,1.0,YESTODATE.COM,1000000.0,0.0
1,"Analytics, Energy, Social",2010,"Hug Energy is a company that helps you socialize, while tracking and analyzing your energy consumption.",2009,"San Francisco, California, United States",2.0,1.0,Hug Energy,600000.0,0.0
2,"Cloud Computing, Digital Media, Enterprise Software",2010,iSyndica is a cloud-based digital media distribution platform that focuses on online marketing.,2009,"Nashua, New Hampshire, United States",4.0,2.0,iSyndica,500000.0,0.0
3,"Analytics, Finance",2010,UserMojo is an emotion analytics platform that measures user experience to help site owners optimize their operations.,2010,"Cambridge, Massachusetts, United States",1.0,1.0,UserMojo,18000.0,0.0
4,"Cloud Computing, Enterprise Software, Marketing",2010,Advebs builds a cloud platform and applications for sales and marketing.,2009,"Sunnyvale, California, United States",2.0,1.0,Advebs,980000.0,0.0
5,"Gaming, iOS, Social",2010,Pocketfungames is a game developer for iOS devices that focuses on games with social components.,2009,"San Francisco, California, United States",,1.0,pocketfungames,5266132.0,0.0
6,"Consumer Electronics, Employment, Human Resources, Legal, Project Management, Recruiting",2010,Werkadoo is an online portal that matches projects with candidates based on behavioral traits and soft characteristics.,2009,"Houston, Texas, United States",2.0,1.0,Werkadoo,200000.0,0.0
7,"Analytics, SaaS, Social Media, Social Media Marketing, Software",2010,"LugIron is a software startup developing software that helps companies measure, understand and optimize their social marketing investments.",2009,"Austin, Texas, United States",3.0,1.0,LugIron Software,5266132.0,0.0
8,"Film, Media and Entertainment, Social",2010,169 ST.,2009,"Lake Mary, Florida, United States",1.0,1.0,169 ST.,50000.0,0.0
9,"iOS, Mobile, Music, Software, Video Games",2010,"People Operating Technology is a large-scale publisher that develops mobile applications for gaming, social networking, and utilities.",2009,"Boston, Massachusetts, United States",,1.0,People Operating Technology,500000.0,0.0
10,"Animal Feed, Security",2010,US Primate Rescue operates databases of exotic animal referrals nationwide.,2009,"Syracuse, Indiana, United States",1.0,1.0,US Primate Rescue Inc.,50000.0,0.0
11,"Biotechnology, Life Science, Therapeutics",2011,BioCritica develops and commercializes critical care products for the healthcare industry.,2011,"Indianapolis, Indiana, United States",,1.0,BioCritica,25000000.0,0.0
12,"E-Commerce, E-Commerce Platforms, Mobile",2011,Blippy is a social commerce platform allowing users to share credit card purchases with friends.,2009,"San Francisco, California, United States",3.0,2.0,Blippy Social Commerce,12931223.0,0.0
13,"E-Commerce, Finance",2011,ToVieFor is an online store that offers handbags and accessories for sale in which members can choose the price they want to pay.,2009,"New York, New York, United States",2.0,2.0,ToVieFor,93000.0,0.0
14,"E-Commerce, Fashion, Lifestyle",2011,"My Nines is a blog that features articles on fashion, accessories, boots, and other topics related to the cowboy lifestyle.",2009,"New York, New York, United States",1.0,1.0,MyNines,500000.0,0.0
15,"CleanTech, Energy, Oil and Gas, Solar",2011,Solmentum is a cleantech company that installs solar panels on roofs.,2009,"San Francisco, California, United States",1.0,1.0,Solmentum,325000.0,0.0
16,"Ediscovery, Hospitality, Identity Management, Mobile, Music, Music Venues, Nightlife, Real Time, Social Media",2011,ItsGoinOn is a social network service and a mobile app that connects members and entertainment establishments with demographic data.,2010,"Los Angeles, California, United States",2.0,1.0,ItsGoinOn,100000.0,0.0
17,"Location Based Services, Mobile, Parenting, Social Media",2011,YellowBrck is a location-based social network that allows parents to share their activities and locations with friends and other parents.,2010,"New York, New York, United States",1.0,1.0,YellowBrck,150000.0,0.0
18,"Beauty, Fashion, Lifestyle",2011,LilLuxe is an online flash sales platform for children’s merchandise.,2010,"Sausalito, California, United States",1.0,1.0,LilLuxe,1200000.0,0.0
19,"Advertising, Coupons, Email Marketing, Location Based Services, SMS, Transportation",2011,"Snacksquare provides automated location-based advertising, works on integration with Foursquare and facilitates push marketing via SMS.",2010,"Goleta, California, United States",1.0,1.0,zSnacksquare,30000.0,0.0
20,"Delivery, Energy, Industrial",2011,"Nevo Energy develops, builds, owns, and operates renewable energy projects to deliver electricity to utilities and industrial customers.",2010,"Cupertino, California, United States",,1.0,Nevo Energy,4100000.0,0.0
21,"Consumer Electronics, Health Care, iOS, Software",2011,"3ClickEMR Corporation provides practice management, PHR and EMR solutions for doctors and their patients.",2010,"West Roxbury, Massachusetts, United States",,2.0,3ClickEMR Corporation,500000.0,0.0
22,"Cloud Computing, Internet of Things, Social Media, Software",2011,"Burning Sky Software develops ConvertXtoDVD, a powerful DVD converter and burner software for converting and burning DVDs.",2009,"Downingtown, Pennsylvania, United States",3.0,1.0,Burning Sky Software,1500000.0,0.0
23,"iOS, Virtual Currency, Virtual Goods",2011,"Mingleplay provides social networking games for platforms including Facebook, iOS, and Android.",2010,"Murfreesboro, Tennessee, United States",2.0,1.0,Mingleplay,300000.0,0.0
24,"Employment, Search Engine",2011,CareerElement is an online marketplace connecting individuals and employers with jobs and employees.,2009,"Palo Alto, California, United States",,1.0,Career Element,100000.0,0.0
25,"Blogging Platforms, Developer Tools, File Sharing, iOS, Mobile, Software",2011,Cubicl is developing a communication tool and chat service that will allow users to have organized group conversations.,2009,"Los Angeles, California, United States",4.0,2.0,Cubicl,130000.0,0.0
26,"Finance, Financial Services",2011,"Paymio is a turn-key, scalable platform that enables small businesses to recover delinquent receivables.",2009,"New York, New York, United States",1.0,1.0,paymio,50000.0,0.0
27,"Advertising, Loyalty Programs",2011,Frequent Browser is a provider of innovative online loyalty solutions.,2010,"Chicago, Illinois, United States",,1.0,Frequent Browser,200000.0,0.0
28,Software,2011,Digital Development Partners develops software for restaurants and service providers to send text messages on discounts or special offers,2009,"City Of Industry, California, United States",,1.0,Digital Development Partners,1020000.0,0.0
29,"Data Storage, Flash Storage, Service Industry",2011,StorageByTheBox provides box level self-storage services in the United States.,2009,"Chicago, Illinois, United States",,1.0,Storage By The Box,250000.0,0.0
30,"Analytics, Enterprise Software, Social Media",2011,Looxii is a social media analytics platform that enables users to search and aggregate information from social networks.,2009,"Atlanta, Georgia, United States",,1.0,Looxii,97500.0,0.0
31,"Health Care, Manufacturing, Medical",2011,"Numblebee LLC manufactures and markets pain-free medical injections for immunization, anesthesia, insulin, allergy serum, and medication",2009,"Little Rock, Arkansas, United States",1.0,1.0,Numblebee,120000.0,0.0
32,"Search Engine, Tourism, Travel",2011,Listedplaces assists vacationers in finding travel locations and vacation rentals.,2011,"Brooklyn, New York, United States",2.0,1.0,listedplaces,20000.0,0.0
33,Internet,2011,"Second Half Playbook, a web portal, provided male boomers and retirees the information needed to make the most of out of life.",2010,"Sarasota, Florida, United States",,1.0,Second Half Playbook,500000.0,0.0
34,"Finance, FinTech",2011,"SEC Watch is a site that helps users navigate the SEC website and filings, making these filings a more useful research document.",2009,"New York, New York, United States",2.0,1.0,SEC Watch,5266132.0,0.0
35,"Online Portals, Social Media, Social Network",2011,BidNerd is a network of individuals and organizations providing better products and services for a competitive price.,2009,"Kissimmee, Florida, United States",,1.0,Bid Nerd,250000.0,0.0
36,"Blogging Platforms, News, Web Browsers",2011,CrowdSling is a tool for collaboratively organizing and weighing arguments around complex issues.,2011,"Greendale, Wisconsin, United States",,1.0,CrowdSling,40000.0,0.0
37,Search Engine,2011,Flareo is a startup search engine.,2010,"Berkeley, California, United States",,1.0,Flareo,700000.0,0.0
38,"Android, E-Commerce, iOS, Local, Location Based Services, Mobile, Ticketing",2011,extraTKT offers a mobile marketplace for users to buy and sell event tickets using GPS and real-time communication.,2010,"Boston, Massachusetts, United States",,1.0,extraTKT,50000.0,0.0
39,"Mobile, Mobile Apps",2011,Notifo is a mobile application and platform that allows web sites and services to create mobile notifications.,2010,"San Francisco, California, United States",2.0,1.0,Notifo,5266132.0,0.0
40,Music,2011,RevoDeals was a virtual 'battle of the bands' that helped music lovers discover new artists and gave exposure to up-and-coming artists.,2010,"Chicago, Illinois, United States",1.0,1.0,RevoDeals,25000.0,0.0
