,Company_Name,Company_type,Business_type,Description,Reason,Failure categories,Number of investors,Founders,Number of funding rounds,Funding Status,City,Launch_Year,Close Year,Acquisition_status(y/n),avg_employee_count,total_funding(in $)
0,Amiloom,Information Technology,B2C,Device forms network of people w/common friends,Cannot be clearly explained in 3 seconds,Poor Marketing,1,Anders Hsi,1,Crowfunding ,San Francisco,2012,2014,no,5.5,15000.0
1,Backfence,"Communities, Internet, Web Hosting",B2C,create hyper-local community sites,internal problems made it impossible to reach transition point,no_data,2,Mark Potts,1,Venture - Series Unknown,Mclean,2004,2007,no,30.5,3000000.0
2,Circa_News,"Mobile, News, Apps",B2C,Mobile news app,"Lack of funding, no buyers",No Financing or Investor Interest,39,"Arsenio Santos, Ben Huh, Matt Galligan",7,M&A,San Francisco,2011,2015,yes,30.5,4737750.0
3,DeviceFidelity,"Mobile, Wireless, Payments",B2B,Contactless payments / NFC for iphone,Apple built NFC into new product line,no_data,2,"Amitaabh Malhotra, Deepak Jain",4,M&A,Richardson,2007,2015,yes,30.5,9646024.0
4,Gumroad_,"Content, Creative Agency, E-Commerce",B2C,Owns and operates an online service through which users can buy and sell digital goods such as design templates and source codes.,It took years for me to realize my pursuit of growth was misguided from the start,no_data,10,Sahil Lavingia,2,Series A,San Francisco,2011,2019,no,30.5,8100000.0
5,Homejoy,"Internet, Hospitality, Consumer, Service Industry",B2C,Home cleaning service.,High cost of customer acquisition and poor business model,Legal Challenges,14,"Aaron Cheung, Adora Cheung",6,Early Stage Venture,San Francisco,2010,2015,yes,75.5,65890945.0
6,Juicero,"Food and Beverage, Nutrition, Organic Food",B2C,Inventor of the first home cold-pressed juicing system,No Sustainable Business Model,Poor product,16,Doug Evans	,4,Late Stage Venture,San Francisco,2013,2017,no,175.5,118500000.0
7,Kichit,"Customer Service, Housekeeping Service, Restaurants",B2C,Brought local chefs to private households,"Kitchit was a popular service and people appreciated the fact that the experience the company brought them by allowing them to have tasty food at their own house and still being able to entertain guest instead of being busy in the kitchen. The on-demand food market was already very competitive and they had to compete with other food providers in the same market including Chef'd Up, ChefSurfing, VanChefs and Hire A Cheft. Even well-funded ventures in this sector had tried making a profitable long-term business but failed. Kitchit changed business strategy a couple of times but was not able to make enough profit margin to sustain its operating costs.â",no_data,20,"Brendan Marshall, Ian Ferguson",3,Series A,San Francisco,2011,2016,no,30.5,8100000.0
8,Lookery,"Advertising, Marketing, Social Network",B2C,Enable social networks to distribute data as targeting info,Dependant on another platform,Poor product,22,"David Cancel, Rex Dixon, Todd Sawicki",2,M&A,San Francisco,2007,2009,yes,5.5,3200000.0
9,Netscape,"E-Commerce, Marketing, News, Software",B2B,Developed enterprise software solutions,"Despite its early success, Netscape had no real chance to beat Microsoft who released IE 1.0 soon after Netscape and continued on improve on it until they finally took over Netscape and were able to offer a consistently better product than their counterpart. Netscape eventually becomes obsolete for the most part but was, however, acquired by AOL in November 1998 for $4.2 billion. After the hire, the company tried again to release upgraded versions of the browser but the battle seemed to have already been won by Microsoft. Netscape finally decided to outsource their code which would later give rise to Firefox. AOL finally shut down Netscape in 2008.",no_data,1,"James Clark, Jon Mittelhauser, Marc Andreessen",2,M&A,Mountain View,1994,2008,yes,7500.5,21600000.0
