,Company.name,Company Business,Category,Company Revenue,Competitor count (cap at 10),Competitor Revenue in Total,HHI
0,medicalsimulation,Medical Simulation provides full-service simulation training and consulting services for healthcare personnel and medical societies.,"Biotechnology, Health Care, Hospital",10.7,10,36076.2,0.257774805
1,cancergenetics,,,24.2,10,652.2,0.462750142
2,topgifter,Search and get Gift Recommendations,"E-Commerce, Gift, Shopping",2.6,6,82.5,0.326574839
3,pica9,The leading SaaS Brand Management Platform empowering brands to deliver local campaigns at scale.,"Advertising, Brand Marketing, Digital Media, Direct Marketing, Enterprise Software, Local Advertising, Marketing Automation, SaaS",7.0,10,214.8,0.187524491
4,actionx,ActionX_connects gaps between mobile customer acquisition and mobile retargeting to drive transactions and_improve customer lifetime value.,"Ad Retargeting, Mobile",1.0,8,3477.9,0.479244161
5,forgerock,"ForgeRock digital identity management solutions transform how organizations securely interact with customers, employees, devices, and things","Cyber Security, Enterprise Software, Identity Management, Information Technology, Internet of Things, Privacy",73.8,10,388.3,0.184830646
6,nakivo,"NAKIVO Inc. provides fast, reliable and cost-effective all-in-one VM backup, replication, disaster recovery for VMware, Hyper-V and AWS EC2.","Computer, Enterprise Software, Security",19.0,10,6798.4,0.5260740629999999
7,smartenergyinstruments,Smart Energy Instruments offers measurement technology solutions for electrical grid distribution networks and IoT infrastructures.,"Energy, Energy Efficiency, Information Technology",1.0,1,12.0,0.8579881659999999
8,cytogelpharma,Cytogel Pharma is a bio-pharmaceutical development company that pursues strategic opportunities for pharmaceutical product development.,"Biopharma, Biotechnology, Health Care",43.5,4,719.3,0.931826455
9,outboundengine,OutboundEngine is super simple marketing software combined with a team of experts who make it work for you.,"Advertising, Email Marketing, Marketing Automation, Social Media",31.2,10,499.9,0.17552040100000002
10,capzure,Knowledge Management + Ticketing + Time Tracking + Billing.,"CRM, Knowledge Management, Software",1.0,1,3.9,0.67513536
11,datatorrent,DataTorrent provides the industry's only stream processing platform to help companies extract value from their Big Data in real-time.,"Analytics, Big Data, Cloud Computing, Enterprise Software, Infrastructure, Open Source",2.8,10,78.3,0.181551129
12,clicdata,ClicData is a leading provider of cloud-based dashboard systems that are designed to improve business efficiency through better reporting.,"Analytics, Business Intelligence, SaaS, Web Development",1.0,10,3084.3,0.29422509
13,eccentexcorporation,"Eccentex delivers case management solutions through AppBase, its Dynamic Case Management (DCM) Platform-as-a-Service (PaaS) application.","Cloud Computing, Enterprise Software",1.0,0,0.0,1.0
14,stationx,Station X develops software products that enable scientists and clinicians to extract maximal biological meaning from complex genomic data.,"Developer Platform, Developer Tools, Genetics, Software",5.9,10,18761.3,0.951872348
15,celsion,"Celsion is a biopharmaceutical company which develops innovative, targeted therapies that address unmet medical needs in oncology.","Biotechnology, Health Care, Therapeutics",1.0,10,444.3,0.203305997
16,worthit,Worth It is a eCommerce sales notification application.,"E-Commerce, Shopping",1.0,10,135.1,0.164059191
17,nexb,DejaCode is an open data platform for managing open source and third-party software components in your products.,"Open Source, SaaS, Software",4.0,9,139.9,0.178995923
18,qumulo,"Qumulo is a startup company developing simple, scalable, and efficient enterprise data storage systems.","Big Data, Data Storage, Enterprise Software",22.8,10,11231.9,0.699568553
19,soundbetter,Marketplace for music production,"Internet, Marketplace, Music",7.0,9,66.1,0.234813616
20,fitstar,FitStar is a technology company developing health and fitness apps that help people streamline their workout sessions.,"Apps, Fitness, Health Care",4.0,8,68.5,0.449091587
21,gliffy,"Gliffy is an online diagram editor for creating and sharing flowcharts, network diagrams, floor plans, user interface designs and more. ","Collaboration, Computer, Enterprise Software, Internet, Software",5.2,10,102.4,0.22992897
22,flowserve,"Industrial Automation, Logistics",,3800.0,10,103681.6,0.864337626
23,maxwellhealth,Maxwell Health is a technology platform and innovative marketplace solution that makes benefits and HR simple.,"Enterprise Software, Health Care, Human Resources, Mobile, SaaS",6.0,10,569.3,0.261976358
24,logicalchoicetechnologies,Logical Choice Technologies is a developer of educational technologies for students and educators.,"EdTech, Education",24.3,9,418.5,0.320379748
25,codehs,CodeHS is a comprehensive platform for helping high schools teach computer science.,"Developer Platform, E-Learning, EdTech, Education, Secondary Education, STEM Education",25.8,10,248.7,0.490503816
26,snapshots,Snapshots is a powerful SaaS platform designed for professional wedding vendors and their clients.,"Apps, E-Commerce, Mobile, Photography, Software, Wedding",1.0,8,783.4,0.5236179120000001
