,state_code,latitude,longitude,zip_code,city,name,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
0,CA,42.35888,-71.05682,92101,San Diego,Bandsintown,1/1/2007,Not closed,4/1/2009,1/1/2010,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,CA,1,0,0,0,0,music,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,acquired
1,CA,37.238915999999996,-121.97371799999999,95032,Los Gatos,TriCipher,1/1/2000,Not closed,2/14/2005,12/28/2009,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,CA,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,acquired
2,CA,32.901049,-117.192656,92121,San Diego,Plixi,3/18/2009,Not closed,3/30/2010,3/30/2010,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,1,acquired
3,CA,37.320309,-122.05004,95014,Cupertino,Solidcore Systems,1/1/2002,Not closed,2/17/2005,4/25/2007,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3333,1,acquired
4,CA,37.779281,-122.41923600000001,94105,San Francisco,Inhale Digital,8/1/2010,10/1/2012,8/1/2010,4/1/2012,0.0,1.6685,0.0384,0.0384,2,2,1300000,1,CA,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.0,1,closed
5,CA,37.406914,-122.09037,94043,Mountain View,Matisse Networks,1/1/2002,2/15/2009,7/18/2006,7/18/2006,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,CA,1,0,0,0,0,network_hosting,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1,closed
6,CA,37.3915589,-122.07026429999999,94041,Mountain View,RingCube Technologies,1/1/2005,Not closed,9/21/2006,3/18/2010,1.7205,5.211,3.0,6.6082,6,3,26000000,2,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.6667,1,acquired
7,CA,38.057107,-122.513742,94901,San Rafael,ClairMail,1/1/2004,Not closed,8/24/2005,10/4/2010,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,CA,1,0,0,0,0,finance,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3.5,1,acquired
8,MA,42.712207,-73.203599,1267,Williamstown,VoodooVox,1/1/2002,Not closed,8/2/2005,2/8/2013,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,MA,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,4.0,1,acquired
9,CA,37.427234999999996,-122.14578300000001,94306,Palo Alto,Doostang,6/1/2005,Not closed,2/1/2007,2/5/2010,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.0,1,acquired
10,CA,37.4429885,-122.16241310000001,94025,Menlo Park,Zong,11/15/2000,Not closed,7/1/2005,4/26/2010,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,acquired
11,CA,37.452992,-122.185098,94025,Menlo Park,Center'd,1/1/2006,12/2/2011,2/1/2007,5/3/2011,1.0849,5.337000000000001,-0.6164,4.6082,8,5,10400000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.75,1,closed
12,KY,38.241467,-85.72451099999999,40204,Louisville,Resonant Vibes,1/1/2004,4/27/2012,11/25/2008,11/25/2008,4.9041,4.9041,3.055353047989626,4.754422568093388,0,1,350000,0,KY,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,closed
13,NY,40.70276,-73.98666800000001,11201,Brooklyn,drop.io,11/26/2007,Not closed,12/3/2007,5/3/2010,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,NY,0,1,0,0,0,education,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2.3333,1,acquired
14,CO,39.74627279999999,-104.99115719999999,80202,Denver,Stratavia,1/1/2001,Not closed,8/31/2005,12/29/2009,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,CO,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,acquired
15,VA,38.901301000000004,-77.265158,22182,Vienna,Invicta Networks,1/1/1999,3/28/2010,8/9/2005,8/9/2005,6.6082,6.6082,3.055353047989626,4.754422568093388,0,1,200000,0,VA,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0,closed
16,CA,37.39628270000001,-122.105531,94022,Los Altos,QSecure,1/1/2003,9/22/2012,8/2/2005,10/5/2009,2.5863,6.7644,5.5014,5.5014,8,5,49000000,1,CA,1,0,0,0,0,security,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3.5,1,closed
17,CA,37.590339,-122.341715,94010,Burlingame,MeeVee,7/1/2000,Not closed,2/1/2005,9/1/2007,4.5918,7.1726,-0.4986,12.6795,7,4,25000000,3,CA,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3.5,1,acquired
18,NY,40.730646,-73.986614,10004,New York,SinglePlatform,1/1/2010,Not closed,9/29/2010,8/1/2011,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,1,acquired
19,CA,37.446411,-122.16054,94301,Palo Alto,Bling Nation,1/1/2007,9/10/2011,7/2/2009,10/30/2009,2.5014,2.8301,3.0877,3.4932,13,2,28000000,3,CA,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,closed
20,TX,30.235039899999997,-97.80012990000002,78735,Austin,Metreos Corporation,1/1/2001,Not closed,3/20/2003,10/14/2004,2.2137,3.7863,4.0877,9.4986,8,2,4355000,3,TX,0,0,0,1,0,software,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.5,0,acquired
21,WA,47.6026054,-122.28486509999999,98122,Seattle,Hidden City Games,1/1/2004,9/28/2011,10/31/2007,10/31/2007,3.8329,3.8329,3.7507,3.7507,3,1,15000000,1,WA,0,0,0,0,1,other,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,closed
22,CA,37.426316,-122.14108200000001,94306,Palo Alto,Neopolitan Networks,1/1/2002,7/25/2008,6/28/2007,6/28/2007,5.4904,5.4904,0.0,0.0,1,1,3170000,1,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,closed
23,CA,37.764395,-122.40102399999999,94103,San Francisco,Pixelpipe,1/1/2008,8/2/2013,1/1/2007,4/25/2011,-1.0,3.3151,3.6959,5.662999999999999,4,2,2300000,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0,closed
24,CO,40.010492,-105.276843,80302,Boulder,EventVue,5/1/2007,2/1/2010,8/1/2007,9/1/2007,0.2521,0.337,3.055353047989626,4.754422568093388,5,2,455000,0,CO,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.5,1,closed
25,IL,41.875555,-87.624421,60601,Chicago,BridgePort Networks,1/1/2002,Not closed,11/3/2006,11/3/2006,4.8411,4.8411,1.0,1.0,3,1,13000000,1,IL,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1,acquired
