company_name,city,state,employees,founded,Industry,CityRanking,estimated_revenues,job_openings,growth_percentage
Bind On-Demand,Minneapolis,MN ,142,2016.0,0,9,31240000.0,7,30%
Level2,Minnetonka,MN,119,2019.0,1,1,32130000.0,10,341%
Bright Health,Minneapolis,MN,742,2015.0,1,2,200340000.0,135,60%
Sezzle,Minneapolis,MN,313,2016.0,2,3,40690000.0,52,105%
75F,Burnsville,MN,84,2012.0,3,4,20580000.0,8,12%
Flywheel.io,Minneapolis,MN,67,,4,5,9715000.0,3,43%
The Stable,Minneapolis,MN,170,2015.0,5,6,42670000.0,4,63%
Wealth Enhancement Group,Plymouth,MN,476,1997.0,6,7,99960000.0,2,19%
Elucent Medical,Eden Prairie,MN,87,2014.0,7,8,21837000.0,1,181%
Sanvello Health,Minneapolis,MN,96,2019.0,8,10,25920000.0,1,153%
Trafera,St Paul,MN,90,,9,11,0.0,1,150%
Player's Health,Minneapolis,MN,35,2012.0,10,12,5600000.0,1,35%
Fulcrum,Minneapolis,MN,36,2015.0,4,13,5220000.0,1,100%
Doran Management,Bloomington,MN,46,,11,14,0.0,1,171%
"Avirat, Inc. dba the OurFamilyWizard website",Minneapolis,MN,80,2001.0,4,15,11600000.0,1,48%
Point B Solutions,Brooklyn Park,MN,66,2008.0,12,758,20130000.0,1,106%
Yardbird,St. Louis Park,MN,32,2016.0,13,16,9184000.0,1,68%
Wurth Industry North America,Brooklyn Park,MN,229,,12,776,69845000.0,1,35%
Concord,Hopkins,MN,428,,4,778,62060000.0,1,15%
Vyriad,Rochester,MN,37,,14,780,5735000.0,1,54%
Lifesprk,St Louis Park,MN,238,2004.0,8,17,64260000.0,7,28%
Westwood Professional Services,Minnetonka,MN,719,1972.0,15,18,71900000.0,90,19%
Perforce Software,Minneapolis,MN,573,1995.0,4,19,83085000.0,42,2%
ArchKey Technologies,Minneapolis,MN,65,,16,20,21125000.0,1,91%
Street Smart,Saint Paul,MN,98,1999.0,17,21,28420000.0,1,20%
Wisdom,Minneapolis,MN,49,2017.0,18,22,12250000.0,1,44%
Nice Healthcare,Minneapolis,MN,59,2017.0,8,23,8370000.0,15,51%
Hidrate,Minneapolis,MN,31,2014.0,19,24,8370000.0,1,35%
Asmodee USA Distribution,Roseville,MN,57,,12,25,17385000.0,1,104%
AiRCare Health,Saint Paul,MN,38,2002.0,8,26,10260000.0,1,100%
Gravie,Minneapolis,MN,80,2013.0,1,27,21600000.0,1,1%
Total Expert,St. Louis Park,MN,249,2012.0,20,28,37410000.0,4,0%
Ovative Group,Minneapolis,MN,233,2009.0,18,29,58250000.0,1,69%
NetSPI,Minneapolis,MN,208,2001.0,21,30,42432000.0,6,51%
DiaSorin Inc.,Stillwater,MN,88,1968.0,14,1948,13640000.0,1,49%
DiaSorin Inc.,Stillwater,MN,86,1968.0,14,2060,13330000.0,1,46%
H2I Group,Minneapolis,MN,181,1924.0,17,31,52490000.0,1,60%
Connor Concepts,Maplewood,MN,37,,6,2083,0.0,1,9%
