company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
Fishtown Analytics,fishtownanalytics.com,Philadelphia,PA,United States,83,http://www.linkedin.com/company/fishtown-analytics,2016,Analytics,1,6815000,5,saas,,,,,$42.4M,https://www.growjo.com/company/Fishtown_Analytics,https://www.indeed.com/jobs?q=company%3A(Fishtown Analytics),295%,For Contact Direct Phone Numbers and Emails see Lead411
Seegrid,seegrid.com,Pittsburgh,PA,United States,336,http://www.linkedin.com/company/seegrid,2003,Industrial,1,118608000,36,"Automotive,Hardware,Hardware Peripherals,Robotics,Transportation",,,B2B,,$136.5M,https://www.growjo.com/company/Seegrid,https://www.indeed.com/jobs?q=company%3A(Seegrid),56%,For Contact Direct Phone Numbers and Emails see Lead411
West Shore Home,westshorehome.com,Mechanicsburg,PA,United States,502,http://www.linkedin.com/company/westshorehome,2006,Construction,62,145580000,146,,,,,,,https://www.growjo.com/company/West_Shore_Home,https://www.indeed.com/jobs?q=company%3A(West Shore Home),50%,For Contact Direct Phone Numbers and Emails see Lead411
Passage Bio,passagebio.com,Philadelphia,PA,United States,86,http://www.linkedin.com/company/passage-bio,2018,Biotech,2,13330000,16,,,,,,$379.5M,https://www.growjo.com/company/Passage_Bio,https://www.indeed.com/jobs?q=company%3A(Passage Bio),161%,For Contact Direct Phone Numbers and Emails see Lead411
Idelic,idelic.com,Pittsburgh,PA,United States,69,http://www.linkedin.com/company/idelic,2016,Digital Health,2,20336000,15,"Driver Management Platform, Safety, saas",,,,,$31M,https://www.growjo.com/company/Idelic,https://www.indeed.com/jobs?q=company%3A(Idelic),50%,For Contact Direct Phone Numbers and Emails see Lead411
Duolingo,duolingo.com,Pittsburgh,PA,United States,840,http://www.linkedin.com/company/duolingo,2011,EdTech,3,138600000,97,"saas, Education,Mobile",Drive Capital,,B2C,1500000000,$183.3M,https://www.growjo.com/company/Duolingo,https://www.indeed.com/jobs?q=company%3A(Duolingo),59%,For Contact Direct Phone Numbers and Emails see Lead411
Penn Interactive,penn-interactive.com,Philadelphia,PA,United States,222,http://www.linkedin.com/company/penn-interactive-pi,2015,Gaming,3,44844000,46,,,,,,,https://www.growjo.com/company/Penn_Interactive,https://www.indeed.com/jobs?q=company%3A(Penn Interactive),192%,For Contact Direct Phone Numbers and Emails see Lead411
RoadRunner Recycling,roadrunnerwm.com,Pittsburgh,PA,United States,286,http://www.linkedin.com/company/roadrunnerrecycling,2014,Environmental,4,60060000,23,"Logistics, Waste Management, Recycling",,,,,$84.1M,https://www.growjo.com/company/RoadRunner_Recycling,https://www.indeed.com/jobs?q=company%3A(RoadRunner Recycling),42%,For Contact Direct Phone Numbers and Emails see Lead411
Century Therapeutics,centurytx.com,Philadelphia,PA,United States,113,http://www.linkedin.com/company/centurytx,2018,Biotech,4,17515000,2,,,,,,$410M,https://www.growjo.com/company/Century_Therapeutics,https://www.indeed.com/jobs?q=company%3A(Century Therapeutics),98%,For Contact Direct Phone Numbers and Emails see Lead411
Ethos Cannabis,EthosCannabis.com,Philadelphia,PA,United States,122,http://www.linkedin.com/company/ethos-dispensary,,Health,5,32940000,2,,,,,,,https://www.growjo.com/company/Ethos_Cannabis,https://www.indeed.com/jobs?q=company%3A(Ethos Cannabis),190%,For Contact Direct Phone Numbers and Emails see Lead411
