,company_name,description,website,funding,industries,num_employees,headquarters,founded_date,industry_groups,full_description,filter,cleaned_description,tokenized text
0,1 Accord Technologies,1 accord technology providing professional support business strive give client enterpriselevel service,https://www.ashton-group.com/,Na," Consulting, Cyber Security, Hardware, IT Management, Software",01 to 10 ," Eatonton, Georgia, United States",2018," Hardware, Information Technology, Privacy and Security, Professional Services, Software",—,Software-2018,1 accord technology providing professional support business strive give client enterpriselevel service,"['1', 'accord', 'technology', 'providing', 'professional', 'support', 'business', 's', '##tri', '##ve', 'give', 'client', 'enterprise', '##lev', '##el', 'service']"
1,1005 Ventures,venture capital,http://www.1005ventures.com,Na," Information Technology, Internet, Venture Capital",01 to 10 ," San Francisco, California, United States",2018," Financial Services, Information Technology, Internet Services, Lending and Investments",1005 ventures is set up to invest in start-ups around the world.,Software-2018,venture capital,"['venture', 'capital']"
2," 1533 Systems, Inc. ",live data platform ingest process respond operate live data system scale,http://1533.io,Na," Analytics, Information Technology, Software, Video Streaming",01 to 10 ," Campbell, California, United States",2018," Content and Publishing, Data and Analytics, Information Technology, Media and Entertainment, Software, Video","1533 Systems is building the next generation data processing platform, specializing in Live Data- where speed, scale, and operational stability are all critical. 
Driveline, its main product, is an all-in-one, tightly integrated platform for ingesting, analyzing and storing Live Data. 
From IoT event streams to large scale Video processing. 
By providing the highest levels of efficiency, and configurable reliability, Driveline scales all the way from embedded devices to government scale problems.",Software-2018,live data platform ingest process respond operate live data system scale,"['live', 'data', 'platform', 'ing', '##est', 'process', 'respond', 'operate', 'live', 'data', 'system', 'scale']"
3,17 TeraWatts,17 terawatts clean energy software company,https://www.17terawatts.com/,Na," Clean Energy, Energy, Information Technology, Software",01 to 10 ," Austin, Texas, United States",2018-01-01 00:00:00," Energy, Information Technology, Software, Sustainability",—,Software-2018,17 terawatts clean energy software company,"['17', 'te', '##raw', '##att', '##s', 'clean', 'energy', 'software', 'company']"
4,3DIQ,3diq make beyond easy recruiter edit format get realtime feedback candidate submittals,https://www.3diq.com,Na," Recruiting, Software",01 to 10 ," Knoxville, Tennessee, United States",2018," Professional Services, Software","3DIQ is a recruiter’s secret weapon. We make it beyond easy for recruiters to edit,
format and submit resumes. Client engagement skyrockets with a real-time
feedback loop and unparalleled visibility into hiring decisions. Purpose-built by
staffing veterans to work within Bullhorn without leaving the ATS, 3DIQ is the first
and only product of its kind. Recruiters and clients alike value its practical and
powerful candidate submittal functionality.",Software-2018,3diq make beyond easy recruiter edit format get realtime feedback candidate submittals,"['3', '##di', '##q', 'make', 'beyond', 'easy', 'recruit', '##er', 'edit', 'format', 'get', 'real', '##time', 'feedback', 'candidate', 'submit', '##tals']"
5,3P Touch Media,3p touch medium mobile application development startup,https://www.3ptouchmedia.com/,Na," Apps, Mobile Apps, Software",01 to 10 ," Pasadena, California, United States",2018-01-01 00:00:00," Apps, Mobile, Software",—,Software-2018,3p touch medium mobile application development startup,"['3', '##p', 'touch', 'medium', 'mobile', 'application', 'development', 'start', '##up']"
6,4Di,4di data analytics platform architecture engineering construction industry,https://4di.ai/,Na," Asset Management, Information Technology, Machine Learning, Software",01 to 10 ," Boston, Massachusetts, United States",2018-01-01 00:00:00," Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Software",—,Software-2018,4di data analytics platform architecture engineering construction industry,"['4', '##di', 'data', 'anal', '##ytic', '##s', 'platform', 'architecture', 'engineering', 'construction', 'industry']"
7,ABYA,abya developer provider technological component creation graphic virtualization cloudgaming solution,https://www.abya.tech/,750000," Media and Entertainment, Software",01 to 10 ," East Setauket, New York, United States",2018," Media and Entertainment, Software","ABYA is a developer and provider of technological components for the creation of graphic virtualization cloud gaming solutions. The company offers bleeding-edge real-time graphics processing designed for the datacenter and designed to as much user concurrency as needed, it is a multiplatform client design allowing integration to new devices with very little effort and a real-time software development that allows the delivery of top quality games without delay, allowing to play the newest videogames on-demand by streaming them from the cloud to any device.",Software-2018,abya developer provider technological component creation graphic virtualization cloudgaming solution,"['a', '##by', '##a', 'developer', 'provider', 'technological', 'component', 'creation', 'graphic', 'virtual', '##ization', 'cloud', '##gami', '##ng', 'solution']"
8,Accelitude LLC,accelitude llc   company deal digital  cloud service solution,https://accelitude.com/,Na," Cloud Security, Information Technology, IT Management",01 to 10 ," Powell, Ohio, United States",2018-01-01 00:00:00," Information Technology, Privacy and Security",—,Software-2018,accelitude llc   company deal digital  cloud service solution,"['a', '##cc', '##eli', '##tude', 'll', '##c', 'company', 'deal', 'digital', 'cloud', 'service', 'solution']"
9,Accelor,accelor provides hardware solution intended blockchain ai business,http://www.accelor.io/,Na," Hardware, Software",01 to 10 ," Sunnyvale, California, United States",2018-01-01 00:00:00," Hardware, Software",—,Software-2018,accelor provides hardware solution intended blockchain ai business,"['a', '##cc', '##elo', '##r', 'provides', 'hardware', 'solution', 'intended', 'block', '##cha', '##in', 'a', '##i', 'business']"
