,company_name,description,industry_groups,headquarters
0,1 Accord Technologies,"1 Accord Technologies has been providing professional IT Support for businesses, strive to give clients Enterprise-level services."," Hardware, Information Technology, Privacy and Security, Professional Services, Software",Georgia
1,1005 Ventures,Venture Capital," Financial Services, Information Technology, Internet Services, Lending and Investments",California
2," 1533 Systems, Inc. ","Live Data platform, ingest, process, respond and operate Live Data systems at any scale."," Content and Publishing, Data and Analytics, Information Technology, Media and Entertainment, Software, Video",California
3,17 TeraWatts,17 TeraWatts is a clean energy software company.," Energy, Information Technology, Software, Sustainability",Texas
4,3DIQ,"3DIQ makes it beyond easy for recruiters to edit, format, and get real-time feedback on candidate submittals."," Professional Services, Software",Tennessee
5,3P Touch Media,3P Touch Media is a mobile application development start-up.," Apps, Mobile, Software",California
6,4Di,"4Di is a data analytics platform for architecture, engineering and construction industries."," Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Software",Massachusetts
7,ABYA,ABYA is a developer and provider technological components for the creation of graphic virtualization cloud-gaming solutions.," Media and Entertainment, Software",New York
8,Accelitude LLC,Accelitude LLC   is an IT company that deals with IT digital & cloud services solutions.," Information Technology, Privacy and Security",Ohio
9,Accelor,Accelor provides hardware solutions intended for Blockchain and AI businesses.," Hardware, Software",California
10,Accounting Panel,Accounting Panel is a cloud-based accounting tool designed to help entrepreneurs control their business finances anytime and anywhere.," Financial Services, Information Technology, Professional Services, Software",Delaware
11,ACE IoT Solutions,"ACE IoT Solutions offers a secure managed platform for collecting, aggregating, and visualizing the facility's operations."," Information Technology, Software",Tennessee
12,Acsibi Studios,"Acsibi Studios is a mobile game development company located in Acton, MA."," Gaming, Mobile",Massachusetts
13,ACTIO,ACTIO is a modular based Software as a Service analytics platform designed for restaurant services.," Data and Analytics, Information Technology, Software",Florida
14,Activeconnect,"Activeconnect works on all types of devices and operating systems for every transaction including iOS, Android, Windows, and Mac OS."," Information Technology, Internet Services, Privacy and Security",California
