,company_name,description,cleaned_description
0,1 Accord Technologies,"1 Accord Technologies has been providing professional IT Support for businesses, strive to give clients Enterprise-level services.",1 accord technology providing professional support business strive give client enterpriselevel service
1,1005 Ventures,Venture Capital,venture capital
2," 1533 Systems, Inc. ","Live Data platform, ingest, process, respond and operate Live Data systems at any scale.",live data platform ingest process respond operate live data system scale
3,17 TeraWatts,17 TeraWatts is a clean energy software company.,17 terawatts clean energy software company
4,3DIQ,"3DIQ makes it beyond easy for recruiters to edit, format, and get real-time feedback on candidate submittals.",3diq make beyond easy recruiter edit format get realtime feedback candidate submittals
5,3P Touch Media,3P Touch Media is a mobile application development start-up.,3p touch medium mobile application development startup
6,4Di,"4Di is a data analytics platform for architecture, engineering and construction industries.",4di data analytics platform architecture engineering construction industry
7,ABYA,ABYA is a developer and provider technological components for the creation of graphic virtualization cloud-gaming solutions.,abya developer provider technological component creation graphic virtualization cloudgaming solution
8,Accelitude LLC,Accelitude LLC   is an IT company that deals with IT digital & cloud services solutions.,accelitude llc   company deal digital  cloud service solution
9,Accelor,Accelor provides hardware solutions intended for Blockchain and AI businesses.,accelor provides hardware solution intended blockchain ai business
10,Accounting Panel,Accounting Panel is a cloud-based accounting tool designed to help entrepreneurs control their business finances anytime and anywhere.,accounting panel cloudbased accounting tool designed help entrepreneur control business finance anytime anywhere
11,ACE IoT Solutions,"ACE IoT Solutions offers a secure managed platform for collecting, aggregating, and visualizing the facility's operations.",ace iot solution offer secure managed platform collecting aggregating visualizing facility operation
12,Acsibi Studios,"Acsibi Studios is a mobile game development company located in Acton, MA.",acsibi studio mobile game development company located acton
13,ACTIO,ACTIO is a modular based Software as a Service analytics platform designed for restaurant services.,actio modular based software service analytics platform designed restaurant service
14,Activeconnect,"Activeconnect works on all types of devices and operating systems for every transaction including iOS, Android, Windows, and Mac OS.",activeconnect work type device operating system every transaction including io android window mac o
15,Acuity PPM,Lightweight project portfolio management (PPM) software for new PMO's,lightweight project portfolio management ppm software new pmos
16,ACW Analytics,We deliver insights that help asset managers plan for and react to extreme weather events,deliver insight help asset manager plan react extreme weather event
17,Ad Fontes Media,"Ad Fontes Media is a Public Benefit Corporation that rates the news. It was founded by Vanessa Otero, creator of the Media Bias Chart®.",ad fontes medium public benefit corporation rate news founded vanessa otero creator medium bias chart®
18,Ad Genius,Ad Genius provides marketing solutions based on exceptional technical talent and creative power.,ad genius provides marketing solution based exceptional technical talent creative power
19,Aersys Inc.,Automated MicroFulfillment Centers for Drone and Rover Deliveries.,automated microfulfillment center drone rover delivery
20,Agamon,Agamon is an AI-powered healthcare platform that converts clinical text into structured data.,agamon aipowered healthcare platform convert clinical text structured data
21,Agape,Agape is a platform scientifically designed to strengthen romantic relationships through personalized daily questions.,agape platform scientifically designed strengthen romantic relationship personalized daily question
22,Agave,Agave is a free hiring platform that offers job postings.,agave free hiring platform offer job posting
23,Agita Labs,Agita Labs develops privacy-enhanced computing architectures that facilitate the creation of new data markets.,agita lab develops privacyenhanced computing architecture facilitate creation new data market
24,Agnes Intelligence,Artificial Intelligence,artificial intelligence
25,Agoric,"Agoric provides a framework for programming smart contracts securely and with ease, beyond anything available today.",agoric provides framework programming smart contract securely ease beyond anything available today
26,Agreemint,The Search for Faster Closes Ends Here.,search faster close end
27,Akava,"Akava specializes in software engineering, DevOps, design, product and project management services to its clients.",akava specializes software engineering devops design product project management service client
28,Akita Software,Akita builds dynamic application programming interface models for software programming and integration.,akita build dynamic application programming interface model software programming integration
29,Aligned Carbon,"Aligned Carbon is a supplier of aligned carbon nanotubes, enabling 1000x improvement in computing.",aligned carbon supplier aligned carbon nanotube enabling 1000x improvement computing
30,Allelica,Allelica is a genomics software company driving the transition of Polygenic Risk Score from Genomic research to clinical application.,allelica genomics software company driving transition polygenic risk score genomic research clinical application
31,ampcontrol.io,ampcontrol.io is an AI-based optimization software for electric vehicle charging to build more charging stations at low costs.,ampcontrolio aibased optimization software electric vehicle charging build charging station low cost
