,Company_Name,Based_in,Company_type,Business_type,Description,Launch,Closure,Duration_(months),Reason,Failure_categories,Number_of_investors,Accelerator_program,Acquisition_status,Acquisition_date,Employee_count,Founders,Total_funding,Number_of_funding_rounds,Funding_round(s)_amount(s),Last_funding ,Last_funding_date,Last_funding_type,Funding_Status
0,Amiloom,"San_Francisco,_California,_United_States",Information_Technology,B2C,Device_forms_network_of_people_w/common_friends,1_December_2012,1_October_2014,"1_year,_10_months",Cannot_be_clearly_explained_in_3_seconds,Poor_Marketing,-,-,-,-,1-10,Anders_Hsi,"$1,713_pledged_of_$108,127_goal",1,-,"$1,713_pledged_of_$108,127_goal",20_November_2014,Crowfunding_,Crowfunding_
1,Backfence,"Mclean,_Virginia,_United_States","Communities,_Internet,_Web_Hosting",B2C,create_hyper-local_community_sites,1_January_2004,1_July_2007,"3_years,_6_months",internal_problems_made_it_impossible_to_reach_transition_point,​,2,-,-,-,11-50,Mark_Potts,"$3,000,000",1,​,"$3,000,000",13_October_2006,Venture_-_Series_Unknown,Venture_-_Series_Unknown
2,Circa_News,"San_Francisco,_California,_United_States","Mobile,_News,_Apps",B2C,Mobile_news_app,1_December_2011,1_June_2015,"3_years,_6_months","Lack_of_funding,_no_buyers",No_Financing_or_Investor_Interest,39,-,Acquired_by_Sinclair_Broadcast_Group_for_undisclosed_amount,9_December_2015,11-50,"Arsenio_Santos,_Ben_Huh,_Matt_Galligan","$4,737,750",7,"Seed_-_$1,225,000_,_Funding_Round_-_$1,092,750,_Convertible_Note_-_$770,000,_Convertible_Note_-_$750,000,_Seed_-_uknown_amount,_Convertible_Note_-_$900,000,_Venture_-_Series_Unknown","$4,737,750",1_March_2014,Seed,M&A
3,DeviceFidelity,"Richardson,_Texas,_United_States","Mobile,_Wireless,_Payments",B2B,Contactless_payments_/_NFC_for_iphone,1_January_2007,1_February_2015,"8_years,_1_month",Apple_built_NFC_into_new_product_line,​,2,-,Acquired_by_Kili_for_undisclosed_amount,12_November_2014,11-50,"Amitaabh_Malhotra,_Deepak_Jain","$9,646,024",4,-,"$9,646,024",4_March_2013,Debt_Financing,M&A
4,Gumroad_,"San_Francisco,_California,_United_States","Content,_Creative_Agency,_E-Commerce",B2C,Owns_and_operates_an_online_service_through_which_users_can_buy_and_sell_digital_goods_such_as_design_templates_and_source_codes.,1_January_2011,1_January_2019,8_years,It_took_years_for_me_to_realize_my_pursuit_of_growth_was_misguided_from_the_start,​,10,-,-,-,11-50,Sahil_Lavingia,"$8,100,000",2,"Seed_-_$1,100,000,_Series_A_-_$7,000,000","$8,100,000",8_February_2012,Series_A,Series_A
5,Homejoy,"San_Francisco,_California,_United_States","Internet,_Hospitality,_Consumer,_Service_Industry",B2C,Home_cleaning_service.,1_January_2010,17_July_2015,"5_years,_6_months",High_cost_of_customer_acquisition_and_poor_business_model,Legal_Challenges,14,Y_Combinator_&_500_Startups,"Homejoy_has_acquired_GetMaid_on_May_22,_2014",-,51-100,"Aaron_Cheung,_Adora_Cheung","$65,890,945",6,"Venture_-_Series_Unknown_-_$1,700,000,_Series_B_-_$38,000,000,_Seed_-_unknown_amount,_Seed_-_$1,700,000,_Seed_-_unknown_amount,_Series_A_-_$24,490,945","$65,890,945",5_December_2013,Series_B,Early_Stage_Venture
6,Juicero,"San_Francisco,_California,_United_States","Food_and_Beverage,_Nutrition,_Organic_Food",B2C,Inventor_of_the_first_home_cold-pressed_juicing_system,1_January_2013,1_September_2017,"4_years,_8_months",No_Sustainable_Business_Model,Poor_product,16,-,-,-,101-250,Doug_Evans	,"$118,500,000",4,​,"$118,500,000",1_April_2016,Series_C,Late_Stage_Venture
7,Kichit,"San_Francisco,_California,_United_States","Customer_Service,_Housekeeping_Service,_Restaurants",B2C,Brought_local_chefs_to_private_households,1_October_2011,28_April_2016,"4_years,_6_months","Kitchit_was_a_popular_service_and_people_appreciated_the_fact_that_the_experience_the_company_brought_them_by_allowing_them_to_have_tasty_food_at_their_own_house_and_still_being_able_to_entertain_guest_instead_of_being_busy_in_the_kitchen._The_on-demand_food_market_was_already_very_competitive_and_they_had_to_compete_with_other_food_providers_in_the_same_market_including_Chef'd_Up,_ChefSurfing,_VanChefs_and_Hire_A_Cheft._Even_well-funded_ventures_in_this_sector_had_tried_making_a_profitable_long-term_business_but_failed._Kitchit_changed_business_strategy_a_couple_of_times_but_was_not_able_to_make_enough_profit_margin_to_sustain_its_operating_costs.â",​,20,500_Startups,-,-,11-50,"Brendan_Marshall,_Ian_Ferguson","$8,100,000",3,"Seed_-_$600,000,_Venture_-_Series_Unknown,_Series_A_-_$7,500,000","$8,100,000",9_December_2014,Series_A,Series_A
8,Lookery,"San_Francisco,_California,_United_States","Advertising,_Marketing,_Social_Network",B2C,Enable_social_networks_to_distribute_data_as_targeting_info,1_August_2007,1_August_2009,2_years,Dependant_on_another_platform,Poor_product,22,-,Acquired_by_Adknowledge,6_November_2008,1-10,"David_Cancel,_Rex_Dixon,_Todd_Sawicki","$3,200,000",2,"Series_A_-_$2,250,000,_Seed_-_$900,000","$3,200,000",4_September_2008,Series_A,M&A
9,Netscape,"Mountain_View,_California,_United_States","E-Commerce,_Marketing,_News,_Software",B2B,Developed_enterprise_software_solutions,4_April_1994,1_January_2008,"13_years,_8_months","Despite_its_early_success,_Netscape_had_no_real_chance_to_beat_Microsoft_who_released_IE_1.0_soon_after_Netscape_and_continued_on_improve_on_it_until_they_finally_took_over_Netscape_and_were_able_to_offer_a_consistently_better_product_than_their_counterpart._Netscape_eventually_becomes_obsolete_for_the_most_part_but_was,_however,_acquired_by_AOL_in_November_1998_for_$4.2_billion._After_the_hire,_the_company_tried_again_to_release_upgraded_versions_of_the_browser_but_the_battle_seemed_to_have_already_been_won_by_Microsoft._Netscape_finally_decided_to_outsource_their_code_which_would_later_give_rise_to_Firefox._AOL_finally_shut_down_Netscape_in_2008.",​,1,-,Acquired_by_AOL_for_undisclosed_amount,28_November_1998,5001-10000,"James_Clark,_Jon_Mittelhauser,_Marc_Andreessen","$21,600,000",2,"Series_C_-_$10,600,000,_Series_B_-$20,000,000","$21,600,000",11_June_2014,Series_B,M&A
