company_name,company_desc,Category,Country,Started,Outcome,Cause,Closed,Number of Founders,Name of Founders,Number of Employees,Number of Funding Rounds,Total Funding Amount,Number of Investors
Yik Yak,Anonymous location-based social network,Social Media,United States,2013,Shut Down,Legal Challenges,2017,3,"Brooks Buffington, Tyler Droll, Will Jamieson",10-50,3,$73.5M,11
Vine,Platform to share short looping video clips,Social Media,United States,2012,Shut Down,Multiple Reasons,2017,3,"Colin Kroll, Dom Hofmann, Rus Yusupov",50-100,1,No Data,2
Pixate,Platform for mobile interaction design,Design,United States,2012,Shut Down,Acquisition Flu,2016,2,"Kevin Lindsey, Paul Colton",10-50,1,$3.8M,1
Quibi,Short-form streaming platform,Entertainment,United States,2018,Shut Down,Multiple Reasons,2020,1,Jeffrey Katzenberg,250-500,2,$1.8B,14
ScaleFactor,Finance and accounting software for SMEs,Finances,United States,2014,Shut Down,Poor Product,2020,1,Kurt Rathmann,100-250,7,$103M,17
Desti,Online travel guide app,Travel,United States,2011,Acquired,Bad Business Model,2014,3,"Imri Goldberg, Mosi Shuchman, Nadav Gur",1-10,2,$2M,3
HiGear,Private car-sharing club for luxury and sports cars,Transportation,United States,2011,Acquired,Legal Challenges,2011,2,"Ali Moiz, Murtaza Hussain",1-10,2,$1.3M,4
Zirtual,Dedicated virtual assistants for busy professionals,Software & Hardware,United States,2011,Shut Down,Mismanagement of Funds,2015,3,"Collin Vine, Erik Jensen, Maren Kate Donovan",100-250,4,$5.5M,10
Secret,Online platform to share personal secrets,Social Media,United States,2013,Shut Down,Legal Challenges,2015,2,"Chrys Bader-Wechseler, David Byttow",10-50,3,$35M,21
Rafter,Textbook and course material provider for schools,Education,United States,2006,Acquired,Competition,2016,1,Sara Leoni,50-100,7,$86M,7
Netscape,Developed enterprise software solutions,Productivity,United States,1994,Shut Down,Poor Product,2008,3,"James Clark, Jon Mittelhauser, Marc Andreessen","5,000-10,000",1,No Data,1
Zulily,Online retailer that offered daily deals,e-Commerce,United States,2009,Shut Down,Bad Marketing,Active,2,"Darrell Cavens, Mark Vadon","1,000-5,000",5,$194.6M,7
EventVue,Built online communities for conferences,Finances,United States,2007,Shut Down,Lack of PMF,2010,2,"Josh Fraser, Rob Johnson",1-10,2,$455K,9
Totsy,E-commerce selling prenatal care products,e-Commerce,United States,2009,Shut Down,Poor Product,2013,2,"Christophe Garnier, Guillaume Gauthereau",50-100,4,$29.5M,4
Skully,Augmented reality motorcycle helmets,Transportation,United States,2013,Shut Down,Mismanagement of Funds,2016,1,"Marcus Weller, Mitch Weller",10-50,4,$15M,13
Wantful,Online gift-giving service,e-Commerce,United States,2011,Shut Down,Competition,2013,1,John Poisson,"+10,000",1,$5.5M,8
Gowalla,Social Guide to world's cities,Social Media,United States,2007,Acquired,Competition,2013,2,"Josh Williams, Scott Raymond",10-50,3,$10.4M,11
PostRocket,Facebook page marketing platform,Analytics,United States,2010,Shut Down,Poor Product,2013,2,"Murry Ivanoff, Tim Chae",1-10,2,$610K,7
Wesabe,Personal finance management website,Finances,United States,2005,Shut Down,Bad Management,2010,2,"Jason Knight, Marc Hedlund",10-50,2,$4.7M,2
Lookery,Demographic marketing services in social networks,Marketing,United States,2007,Acquired,Dependence on Others,2009,3,"David Cancel, Rex Dixon, Todd Sawicki",1-10,2,$3.2M,22
Argyle Social,Provided social media management tools,Marketing,United States,2010,Shut Down,Competition,2014,1,Adam Covati,10-50,2,$1.6M,2
ArsDigita,Agency that built solutions for e-commerce,e-Commerce,United States,1997,Shut Down,Lack of Experience,2002,7,"Philip Greenspun, Tracy Adams, Ben Adida, Eve Andersson, Olin Shivers, Aurelius Prochazka, Jin Choi",50-100,1,$35M,3
PoliMobile,Empowered campaigns with the power of mobile,Marketing,United States,2011,Shut Down,No Market Need,2015,1,Curt Prins,1-10,0,-,0
Tilt,Social payment startup focused on crowd-funding,Finances,United States,2012,Acquired,Lack of Focus,2017,3,"James Beshara, Karolyn Baxter, Khaled Hussein",100-250,4,$62.1M,26
Delicious,"Bookmarking website to save, organize and discover links",Productivity,United States,2003,Still Active,Acquisition Flu,2017,1,Joshua Schachter,50-100,1,No Data,10
Move Loot,Furniture online marketplace,e-Commerce,United States,2013,Shut Down,Bad Business Model,2016,4,"Bill Bobbitt, Jenny Karin Morrill, Ryan Smith, Shruti Shah",50-100,3,$21.8M,18
QBotix,Solar panels attached and regulated by robots,Software & Hardware,United States,2010,Shut Down,Competition,2015,1,Wasiq Bokhari,10-50,3,$23.5M,7
Fuhu,Designer and seller of cloud-served softwares,Software & Hardware,United States,2006,Acquired,Mismanagement of Funds,2015,3,"John Hui, Robb Fujioka, Steve Hui","500-1,000",5,$66.2M,8
Formspring,Encouraged people to get to know each other,Social Media,United States,2009,Shut Down,Legal Challenges,2013,2,"Ade Olonoh, John Wechsler",10-50,2,$14.3M,13
FoundationDB,Scalable NoSQL layered database,Software & Hardware,United States,2009,Acquired,Acquisition Flu,2015,3,"Dave Rosenthal, Dave Scherer, Nick Lavezzo",10-50,2,$22.7M,3
Tutorspree,Web-based tuition services,Education,United States,2010,Acquired,Bad Marketing,2013,3,"Aaron Harris, Josh Abrams, Ryan Bednar",50-100,2,$1.8M,10
