rank,name,sr-score,description,recent_funding_date,round,amount
2,Giphy,"91,822",Search and make GIFs - Animated GIF search. The first and largest GIF sea ...,"Oct 31, 2016",Series D,"$ 72,000,000"
3,Buffer,"91,361",A Smarter Way to Share on Social Media - Buffer is the easiest way to share the great links ...,"Oct 27, 2014",Series A,"$ 3,500,000"
6,PicsArt,"90,695",PicsArt is a leading image editing app and creative community. - It is the most popular free mobile photo editor wi ...,"Apr 20, 2016",Series B,"$ 20,000,000"
8,Coursera,"90,391",Free Online Courses From Top Universities - Coursera - We are a social entrepreneurship compan ...,"Jun 07, 2017",Series D,"$ 64,000,000"
9,IFTTT,"90,168",Do more with the services you love - IFTTT (if this then that) puts the internet to wor ...,"Aug 29, 2014",Series B,"$ 30,000,000"
10,Skillshare,"90,102",A learning community for creators - Skillshare is a global community where you can lea ...,"May 26, 2016",Series B,"$ 12,000,000"
16,DoorDash,"89,021",DoorDash enables small businesses to provide its customers with local delivery services. - DoorDash - Delightful food delivery in San Francis ...,"Mar 22, 2016",Series C,"$ 127,000,000"
18,Teachable,"88,937","Create and sell beautiful online courses - Teachable is a multi-tenant, unbranded online cour ...","Jan 25, 2017",Series A,"$ 4,000,000"
21,Zapier,"88,237",All-in-one web application integrations - Zapier lets you create integrations between the bu ...,"Oct 31, 2012",Seed,"$ 1,300,000"
22,Letterboxd,"88,182","Your life in film. - Letterboxd - Keep a diary of the films you watch, ...",,,
25,Bigfish,"87,723","Big Fish Games is an online shop selling downloadable games for PC and mobile platforms. - Big Fish Games, the world leader in downloadable g ...",,,
27,Treehouse,"87,415",Start Learning for Free - Treehouse aims to be the best way to learn web des ...,"Aug 06, 2015",Venture,"$ 16,000,000"
29,Ahrefs,"87,385",Tools to grow your search traffic - Ahrefs is trusted by SEOs and marketing profession ...,,,
31,YouNow,"87,329",Democratizing Fame - YouNow is a place where you can discover awesome p ...,"Sep 05, 2015",Series B,"$ 15,000,000"
33,HackerRank,"87,207",HackerRank is a skills-based tech hiring platform. - HackerRank - A social platform for programmers to ...,"Sep 09, 2016",Venture,Undisclosed amount
36,Instacart,"87,152",Instacart is a same-day grocery delivery company delivering groceries and home essentials from a variety of local stores. - Instacart is a same-day grocery delivery service. ...,"Mar 07, 2017",Series D,"$ 400,000,000"
42,Instapage,"86,493",The Most Powerful Landing Page Solution for Marketing Teams & Agencies. - Instapage lets marketers build and A/B test landin ...,"Oct 01, 2016",Seed,"$ 1,000,000"
52,Teespring,"85,718",Find something made for you - Teespring is a platform that makes it easy for any ...,"Jun 22, 2017",Series A,"$ 5,000,000"
57,Knoji,"85,480",Honest reviews from consumers like you - Consumers are losing trust in online reviews on si ...,,,
58,Help Scout,"85,410",Simple Customer Service Software and Education - Help Scout enables teams to share an email inbox s ...,"Feb 07, 2017",Series B,"$ 6,180,147"
68,The Muse,"85,023","Search Jobs, Career Advice and Company Profiles - The Muse is a career platform that helps people fi ...","Jun 22, 2016",Series B,"$ 16,000,000"
69,Branch Metrics,"84,994",Branch helps companies drive seamless mobile experiences through its linking infrastructure powering thousands of today's top brands. - Branch provides a universal deep link that works a ...,,,
73,Segment,"84,966",The last API integration you'll ever need. - Segment is the customer data platform that develop ...,"Jul 13, 2017",Series C,"$ 64,000,000"
74,PushBullet,"84,938","Pushbullet enables its users to see calls and texts on their computers and easily send links and files from their computers to phones. - PushBullet makes it easy to instantly push files, ...","Jan 27, 2015",Seed,"$ 1,500,000"
80,HotelTonight,"84,757",Same-day mobile hotel bookings - HotelTonight - Plans change; HotelTonight can help ...,"Mar 22, 2017",Series E,"$ 37,000,000"
84,OneSignal,"84,575",OneSignal is a complete push notification solution for mobile apps. - OneSignal is a completely free multi-platform push ...,"Aug 15, 2017",Series A,"$ 7,000,000"
86,BrowserStack,"84,336",Cross-browser testing without the headache (+invites!) - BrowserStack provides complete range of browsers f ...,,,
88,FlipSnack,"84,289",Digital flipbook maker for stunning magazines - FlipSnack is everything people need to easily publ ...,,,
91,tawk.to,"84,229",A free live chat app that lets you monitor and chat with website visitors. - tawk.to is a free live chat app that lets you moni ...,"Jan 01, 2011",Seed,"$ 2,000,000"
95,Hubstaff,"84,116",Time tracking and productivity monitoring tool - Hubstaff time tracking software helps remote manag ...,,,
99,Roadtrippers,"84,048",Mapquest meets Yelp for Travel & Tourism - Roadtrippers - Our simple and engaging map based i ...,"Jun 02, 2017",Venture,"$ 7,395,582"
104,Sezzle,"83,851",Get Rewarded for making payments from your checkin - Sezzle solves the problems online merchants face w ...,"Oct 05, 2016",Seed,"$ 1,850,000"
105,Startup Book Club,"83,841",The First Un-Booked Monthly Book Box Club! - A new kind of book box subscription designed speci ...,,,
106,RebelMouse,"83,808",Your social front page - RebelMouse uses your social networks to dynamicall ...,"Apr 06, 2015",Series A,"$ 6,000,000"
110,Tailor Brands,"83,630","Logo Design, Simplified - Tailor is an algorithm that makes branding afforda ...","Nov 07, 2016",Unknown,"$ 4,000,000"
