description,website,crunchbase_link,name,activity_level,market,products,revenue_through,founded_by,founded,place,team_members,launch_stage,revenue_stage,amount_raised,twitter_followers,percentile,pageviews,Alexa Ranking,
"'#1 Social Justice Network: Civil Rights Tools, News and Community Network'",https://www.reyets.com/links?ref=startuptracker,https://crunchbase.com/organization/reyets,'Reyets: Social Justice Network',High company activity detected,"'education', 'governmental', 'social networks', 'startups'","'mobile app', 'service', 'web app'","'b2c', 'b2b', 'b2g', 'non profit', 'free to use', 'advertising', 'affiliation', 'subscription'","""Wa'il Ashshowwaf"", 'Justin A. Moore, ESQ.', 'Rooam'",June 30 2017,"Washington, DC US",4,Publicly,Pre,$200k,618,9,~995,4.7m,
'A Better Business Dashboard For Founders And Creators',https://benchmark.app?ref=startuptracker,https://startuptracker.io,'Benchmark App',Low company activity detected,"'analytics', 'data', 'startups'",'web app',"'b2b', 'freemium'",'Daren@hey.com \U0001f9ed',June 30 2020,"Provo, UT US",2,Pre,Pre,Undisclosed,1,9,~2.1k,2.3m,
"'Story-driven online courses in game format for 6-13 year old kids on math, science, life and social skills needed to succeed'",https://edcraft.io?ref=startuptracker,https://crunchbase.com/organization/edcraft,'EdCraft',Sourced by Startup Tracker,'education',"'service', 'web app'","'b2c', 'b2b', 'freemium'",'Umnazia',September 1 2018,New York US,11-50,Publicly,Post,$1m,See,9,~1.3k,3.5m,
'Net Worth and Investments Tracker',https://www.moneyminx.com?ref=startuptracker,https://betalist.com/startups/money-minx,'Money Minx',High company activity detected,'finance','web app',"'b2c', 'subscription'","'Hussein Yahfoufi 🌟', 'Jessica (Jones) Yahfoufi'",January 1 2021,San Diego US,5-10,Publicly,Pre,Undisclosed,62,9,~6.7k,705.9k,
'Finance for Founders',https://pry.co?ref=startuptracker,https://producthunt.com/posts/pry,'Pry',High company activity detected,"'analytics', 'finance', 'startups', 'accounting and legal'","'service', 'web app'","'b2b', 'subscription'",'Tiffany Wong',June 9 2017,San Francisco US,5-10,Publicly,Post,Undisclosed,170,9,~16k,297.3k,
'The Ismaili Relationships App',http://chaimeetsbiscuit.com?ref=startuptracker,https://crunchbase.com/organization/chai-meets-biscuit,'Chai Meets Biscuit',Sourced by Startup Tracker,'social networks',"'mobile app', 'service'","'b2c', 'free to use', 'advertising', 'freemium', 'subscription'",'Chai Meet Biscuit',December 1 2020,Atlanta US,3,Privately,Pre,Undisclosed,See,9,0,0,
'A.I. Powered Narration For Your Company Blog',https://liso.ai?ref=startuptracker,https://startuptracker.io,'Liso.AI',High company activity detected,'software dev','other',"'b2b', 'freemium'",,April 12 2021,California US,1,Pre,Pre,Self,2.2m,9,~2.1k,2.2m,
'SalesLab CRM for long cycle sales. We strive to make the most user-friendly CRM.',https://www.saleslab.promo/?ref=startuptracker,https://producthunt.com/posts/saleslab-crm-1,'SalesLab CRM',No recent company activity detected,'sales','desktop app',"'b2b', 'subscription'",'Oliver Grand',January 20 2021,San-Francisco US,4,Publicly,Pre,Undisclosed,See,9,0,0,
'Has over 100 different communities that people can join and an Event Map where people can find fun social events nearby.',https://www.globalfun.earth?ref=startuptracker,https://producthunt.com/posts/global-fun,'Global Fun',No recent company activity detected,"'communication', 'entertainment', 'social networks', 'content'",'web app','advertising','Global Fun',January 11 2021,Tenafly US,1,Publicly,Pre,$1.5k,7.3m,9,~635,7.3m,
"'Lean Power is a digital work execution platform enabling work to be executed on tablets, providing labor efficiencies & machinery analytics.'",https://leanpower.io/?ref=startuptracker,https://www.crunchbase.com/organization/lean-power,'Lean Power',High company activity detected,"'energy', 'manufacturing', 'productivity', 'ar/vr'","'mobile app', 'web app'","'b2b', 'subscription'",'Lean Power',March 1 2018,Chicago US,11-50,Publicly,Post,Undisclosed,2,9,0,0,
