,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,link_name,company_description,name
612,CA,37.417002,-122.07871,94043,c:15122,Mountain View,Mountain View CA 94043,Kace networks,1,1/1/2003,Still Operating,7/25/2005,5/22/2006,2.5644,3.389,8.1452,8.1452,7,2,11000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:15122,1,0,0,1,0,0,1.5,1,acquired,kace networks,"KACE Networks, Inc. operates as a systems management appliance company. ",Kace networks
613,NY,40.730646,-73.986614,10014,c:38019,New York,New York NY 10014,Thwapr,0,1/1/2007,7/20/2013,1/1/2009,1/1/2010,2.0027,3.0027,2.0877,4.0685,7,2,2000000,3,NY,0,1,0,0,0,photo_video,0,0,0,0,0,0,0,0,0,1,c:38019,1,1,0,0,0,0,3,0,closed,thwapr,Thwapr provides a machine-to-machine (M2M) service that allows users to share videos and photos with friends.,Thwapr
614,CA,40.234451,-111.658656,94103,c:4961,San Francisco,San Francisco CA 94103,Zinch,1,2/1/2007,Still Operating,12/1/2007,10/20/2009,0.8301,2.7178,4.2466,4.7918,17,2,5000000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:4961,1,1,0,0,0,0,1,1,acquired,zinch,Zinch is a website connecting colleges and students by allowing students to create their profiles that can be browsed by colleges.,Zinch
615,CA,37.320309,-122.05004,95014,c:41483,Cupertino,Cupertino CA 95014,Cloud.com,1,1/1/2008,Still Operating,1/1/2010,1/1/2010,2.0027,2.0027,3.6603,4.0795,12,1,11000000,2,CA,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:41483,0,0,0,1,0,0,3,1,acquired,cloud.com,Cloud.com develops an open source cloud orchestration software product for the implementation of cloud computing environments.,Cloud.com
616,CA,37.445667,-122.166911,94063,c:12348,Redwood City,Redwood City CA 94063,"Wildfire, a division of Google",1,7/1/2008,Still Operating,12/1/2008,12/1/2011,0.4192,3.4192,3.6027,4.8521,19,4,14100000,4,CA,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:12348,0,1,1,1,0,0,2.25,1,acquired,"wildfire, a division of google",Wildfire is a provider of enterprise social media marketing software.,"Wildfire, a division of Google"
617,CA,34.062504,-118.354605,90036,c:3202,Los Angeles,Los Angeles CA 90036,Authenticlick,0,8/5/2005,1/1/2009,2/1/2006,2/1/2006,0.4932,0.4932,2.2411,2.2411,8,1,5000000,1,CA,1,0,0,0,0,search,0,0,0,0,0,0,0,0,0,1,c:3202,0,0,1,0,0,0,1,0,closed,authenticlick,Authenticlick is a web analytics company providing web traffic quality intelligence solutions for online advertising optimization.,Authenticlick
618,WA,45.630695,-122.674456,98665,c:32144,Vancouver,Vancouver WA 98665,Idooble,0,1/1/2009,1/1/2012,1/1/2009,8/1/2010,0,1.5808,-0.1671,-0.1671,1,2,400000,1,WA,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,c:32144,0,1,0,0,0,0,1,0,closed,idooble,Idooble.com was a social commerce platform that enabled interactive shopping.,Idooble
619,CA,37.658313,-122.391032,94080,c:32023,South San Francisco,South San Francisco CA 94080,BioSeek,1,1/1/2000,Still Operating,5/23/2007,5/23/2007,7.3945,7.3945,4.0027,4.0027,4,1,10000000,1,CA,1,0,0,0,0,biotech,0,0,0,0,0,0,0,1,0,0,c:32023,0,0,0,0,1,0,1,0,acquired,bioseek,BioSeek provides cell-based human disease models for drug discovery and development.,BioSeek
620,MA,42.405685,-71.255857,2451,c:1445,Waltham,Waltham MA 2451,xkoto,0,1/1/2005,10/1/2011,11/1/2005,1/26/2009,0.8329,4.0712,2,2,3,3,11035000,1,MA,0,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,c:1445,1,0,0,1,1,0,1.6667,1,closed,xkoto,Xkoto is a technology platform that enables its users to replicate and visualize their data.,xkoto
621,MA,42.4717204,-71.2621435,2421,c:53686,Lexington,Lexington MA 2421,Coradiant,1,1/1/2000,Still Operating,8/22/2005,8/22/2005,5.6438,5.6438,8.0055,11.3288,9,1,12700000,2,MA,0,0,1,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,c:53686,0,0,0,0,0,1,4,1,acquired,coradiant,"Coradiant provides network and website monitoring equipment to manage, optimize and troubleshoot web applications.",Coradiant
622,CA,39.78373,-100.445882,94566,c:50208,Pleasanton,Pleasanton CA 94566,QuantaLife,1,1/1/2008,Still Operating,12/13/2010,7/22/2011,2.9507,3.5562,0,0,3,2,20757182,1,CA,1,0,0,0,0,biotech,0,0,0,0,0,0,0,1,0,0,c:50208,0,0,0,1,0,0,1,1,acquired,quantalife,QuantaLife is a biotechnology company that manufactures and markets products based on their proprietary nucleic acid testing method.,QuantaLife
623,CA,37.404044,-121.978956,95054,c:16874,Santa Clara,Santa Clara CA 95054,BroadLight,1,6/1/2000,Still Operating,11/17/2005,9/11/2007,5.4658,7.2822,10.5918,10.5918,5,3,27000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:16874,0,0,0,0,0,1,6,1,acquired,broadlight,BroadLight is a supplier of communication semiconductors and optical transceivers for cost-effective FTTP (Fiber-to-the-Premises).,BroadLight
624,NY,40.7445343,-73.9874008,10016,c:643,New York,New York NY 10016,BBE,1,4/1/2004,Still Operating,1/1/2008,1/1/2008,3.7534,3.7534,5.5425,6.7562,7,1,10000000,3,NY,0,1,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:643,0,0,1,0,0,0,1,0,acquired,bbe,"BBE, a producer and distributor of original, web-based programming solutions, offers a platform for serving, tracking and managing ads.",BBE
625,CA,33.923916,-118.39665,90245,c:53471,El Segundo,El Segundo CA 90245,TelASIC Communications,0,1/1/2001,12/24/2009,3/22/2005,3/22/2005,4.2219,4.2219,3.055353048,4.754422568,4,1,26000000,0,CA,1,0,0,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,c:53471,0,0,0,0,0,1,4,1,closed,telasic communications,TelASIC Communications develops remote radio head products for WCDMA/HSDPA and WiMAX/LTE infrastructure applications.,TelASIC Communications
626,CT,44.671539,-70.144101,6032,c:37780,Farmington,Farmington CT 6032,LegiTime Technologies,0,1/1/2005,9/15/2010,3/1/2007,12/15/2009,2.1616,4.9562,3.055353048,4.754422568,2,2,4000000,0,CT,0,0,0,0,1,messaging,0,0,0,0,0,0,0,0,0,1,c:37780,0,0,1,0,0,0,2,1,closed,legitime technologies,"LegiTime Technologies provides LegiText, a subscription-based SMS solution with message authentication, and archiving facilities.",LegiTime Technologies
627,CA,37.377787,-122.029217,94086,c:17508,Sunnyvale,Sunnyvale CA 94086,Mobius Microsystems,1,1/1/2004,Still Operating,1/31/2006,12/10/2007,2.0849,3.9425,-3,-3,3,2,20220000,1,CA,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,c:17508,0,0,1,1,0,0,3,1,acquired,mobius microsystems,"Mobius Microsystems offers CMOS Harmonic Oscillator, a technology enabling system designers to create minute and mechanical robust products.",Mobius Microsystems
628,NY,40.717248,-74.002662,10013,c:2804,New York,New York NY 10013,Boonty,1,3/1/2001,Still Operating,7/7/2005,7/7/2005,4.3534,4.3534,6.1699,9.0904,7,1,10000000,3,NY,0,1,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,c:2804,0,0,0,1,0,0,4,1,acquired,boonty,Boonty is a developer of online casual games that focus on enhancing social interactions.,Boonty
629,NY,40.7434025,-73.9890857,10010,c:11397,New York,New York NY 10010,B-Side Entertainment,0,4/7/2005,3/1/2010,10/11/2006,11/14/2008,1.5123,3.6082,1.3178,4.1589,8,2,7350000,3,NY,0,1,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,c:11397,0,0,1,1,0,0,4.5,1,closed,b-side entertainment,B-Side Entertainment operates as a distributor of independent films in the United States.,B-Side Entertainment
630,CA,37.288136,-121.79765,95138,c:41409,San Jose,San Jose CA 95138,Taggstr,0,7/1/2009,7/1/2013,4/7/2010,4/7/2010,0.7671,0.7671,0,0,1,1,50000,1,CA,1,0,0,0,0,messaging,0,0,0,0,0,0,0,0,0,1,c:41409,0,1,0,0,0,0,1,0,closed,taggstr,Taggstr provided students with a mobile application to find information on the best deals around their university through tagging.,Taggstr
631,NY,40.7394115,-73.9895748,10010,c:55436,New York,New York NY 10010,Fashism,0,1/1/2009,9/27/2013,11/19/2010,11/19/2010,1.8822,1.8822,1.6603,3.0247,5,1,1000000,3,NY,0,1,0,0,0,fashion,0,0,0,0,0,0,0,0,0,1,c:55436,0,0,1,0,0,0,7,1,closed,fashism,"Fashism, an online platform, enables its fashion enthusiasts to share styles and get their images rated.",Fashism
632,CA,37.39972,-122.108306,94040,c:12630,Mountain View,Mountain View CA 94040,Goodmail Systems,0,1/1/2003,1/1/2012,10/17/2005,1/12/2009,2.7945,6.0356,7.5014,8.0055,16,4,45000000,2,CA,1,0,0,0,0,security,0,0,0,0,0,0,0,0,0,1,c:12630,0,0,1,1,1,0,2,1,closed,goodmail systems,Goodmail Systems provides an email service for consumers to identify authentic messages from legitimate commercial and non-profit senders.,Goodmail Systems
633,CA,32.877656,-117.210595,92121,c:365,San Diego,San Diego CA 92121,Nirvanix,0,7/1/2007,10/15/2013,9/18/2007,5/3/2012,0.2164,4.8438,0.2164,6.2466,22,5,70000000,5,CA,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:365,1,0,1,1,1,0,4.2,1,closed,nirvanix,Nirvanix offers cloud storage solutions to avoid downtime losses for customers expecting security reliability and redundancy levels.,Nirvanix
634,WA,47.6447802,-122.325878,98102,c:20832,Seattle,Seattle WA 98102,LookStat,0,1/1/2008,5/29/2012,4/23/2009,4/23/2009,1.3096,1.3096,1.0027,1.3096,3,1,500000,2,WA,0,0,0,0,1,ecommerce,0,0,0,0,0,0,1,0,0,0,c:20832,0,0,1,0,0,0,1,1,closed,lookstat,Founder & CEO of LookStat. We help photographers and agencies make more money.,LookStat
635,CA,37.779281,-122.419236,94133,c:39399,San Francisco,San Francisco CA 94133,Sweepery,0,8/1/2008,6/29/2011,9/1/2008,12/1/2009,0.0849,1.3342,3.055353048,4.754422568,6,2,500000,0,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:39399,0,0,0,0,0,0,1,1,closed,sweepery,"Sweepery offers a platform that enables users to integrate, serve, and optimize websites and conversion rates.",Sweepery
636,TX,30.306591,-97.826727,78746,c:17809,Austin,Austin TX 78746,Luminary Micro,1,1/1/2004,Still Operating,2/1/2005,8/23/2007,1.0877,3.6438,3.4986,3.4986,2,3,44000000,1,TX,0,0,0,1,0,semiconductor,0,0,0,0,0,0,0,0,0,1,c:17809,0,0,1,1,1,0,4,1,acquired,luminary micro,"Luminary Micro designs, markets and sells ARM Cortex-M3-based microcontrollers for energy, security, and connectivity markets.",Luminary Micro
