,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,link_name,company_description
306,ME,43.643967,-70.923675,4095,c:158294,West Newfield,West Newfield ME 4095,Newfield Design,0,01-01-08,06-01-13,5/14/2012,5/14/2012,4.3699,4.3699,3.055353048,4.754422568,0,1,662000,0,ME,0,0,0,0,1,manufacturing,0,0,0,0,0,0,0,0,0,1,c:158294,0,0,1,0,0,0,3,0,closed,newfield design,Newfield Design develops and manufactures communication systems infrastructure.
307,NY,40.73901,-73.997259,10011,c:58550,New York,New York NY 10011,Savored,1,01-01-10,Still Operating,01-01-10,01-10-11,0,1.0247,2.0055,2.7315,12,2,3750000,2,NY,0,1,0,0,0,hospitality,0,0,0,0,0,0,0,0,0,1,c:58550,0,1,1,0,0,0,4,1,acquired,savored,Savored is a platform that provides yield management solutions for the restaurant industry.
308,CA,37.764726,-122.394523,94107,c:4,San Francisco,San Francisco CA 94107,Digg,1,10-11-04,Still Operating,10-01-05,07-12-11,0.9726,6.7534,5.2466,9.1534,57,4,45000000,8,CA,1,0,0,0,0,news,0,0,0,0,0,0,0,0,0,1,c:4,0,0,1,1,1,1,4.6667,1,acquired,digg,"Digg Inc. operates a website that enables its users to find, read, and share the most interesting and talked about stories on the internet."
309,NY,40.7473113,-73.9549182,11101,c:1475,Long Island City,Long Island City NY 11101,Songza,1,11-01-07,Still Operating,9/19/2011,09-10-13,3.8849,5.863,2.8356,6.1123,9,2,6700000,4,NY,0,1,0,0,0,music,0,0,0,0,0,0,0,0,0,1,c:1475,1,0,0,0,0,0,8,1,acquired,songza,Songza is a music streaming and recommendation service offering curated playlists based on the time of day or a user's mood or activity.
310,CA,37.536402,-122.325129,94065,c:23134,Redwood City,Redwood City CA 94065,Bigfoot Networks,1,01-01-06,Still Operating,03-06-06,11/17/2009,0.1753,3.8795,2,4.474,12,3,20750000,2,CA,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,c:23134,1,0,1,1,0,0,2.3333,1,acquired,bigfoot networks,Bigfoot Networks develops hardware and software solutions that maximize network performance for online gaming and other real-time apps.
311,CA,37.786942,-122.401245,94105,c:453,San Francisco,San Francisco CA 94105,Kongregate,1,01-01-06,Still Operating,03-01-07,07-02-13,1.1616,7.5041,3.055353048,4.754422568,5,4,19000000,0,CA,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,c:453,0,0,1,1,1,0,2,1,acquired,kongregate,Kongregate is a mobile game publisher and web gaming portal.
312,CA,37.778613,-122.395289,94107,c:30,San Francisco,San Francisco CA 94107,Powerset,1,10-01-06,Still Operating,05-01-06,06-01-07,-0.4192,0.6658,3.055353048,4.754422568,20,3,22500000,0,CA,1,0,0,0,0,search,0,0,0,0,0,0,0,0,0,1,c:30,1,0,1,0,0,0,4,1,acquired,powerset,Powerset is a search engine focused on in-depth natural language processing.
313,CA,37.792394,-122.402349,94104,c:282,San Francisco,San Francisco CA 94104,Kiptronic,1,05-01-05,Still Operating,11-01-05,06-05-08,0.5041,3.0986,2.2384,3.7562,10,3,7300000,3,CA,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:282,0,1,1,1,0,0,2,1,acquired,kiptronic,Kiptronic offers a platform for inserting video and audio ads into digital media for consumption on any device.
315,WA,47.582658,-122.135282,98007,c:9599,Bellevue,Bellevue WA 98007,Likewise Software,1,11-01-04,Still Operating,4/30/2009,4/30/2009,4.4959,4.4959,3.055353048,4.754422568,4,1,10000000,0,WA,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,c:9599,0,0,0,0,1,0,3,1,acquired,likewise software,Likewise Software provides identity management solutions to achieve security compliances of businesses in mixed network environments.
316,NY,40.73901,-73.997259,10011,c:63621,NY,NY NY 10011,Lifestander,0,09-01-10,06-01-13,10-02-10,10-02-10,0.0849,0.0849,0,0,1,1,31000,1,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:63621,0,1,0,0,0,0,2,0,closed,lifestander,"Lifestander was a platform for sharing a user's life story, experiences and adventures through context-rich-content (CRC)."
317,CA,37.451026,-122.18676,94025,c:251,Menlo Park,Menlo Park CA 94025,Jaxtr,1,10-01-05,Still Operating,07-01-07,6/23/2008,1.7479,2.7288,1.7479,6.1452,16,3,21500000,4,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:251,0,0,1,1,0,0,3.3333,1,acquired,jaxtr,Jaxtr enables users to receive calls from their friends through a VOIP connection and keep their personal phone numbers private.
318,CO,39.540323,-104.857271,80112,c:12285,Englewood,Englewood CO 80112,MX Logic,1,01-01-02,Still Operating,11-07-06,11-07-06,4.8521,4.8521,6.5863,6.5863,5,1,4000000,1,CO,0,0,0,0,1,security,0,0,0,0,0,0,0,0,0,1,c:12285,0,0,0,0,0,0,5,1,acquired,mx logic,MX Logic provides email defense solutions that protect against email-borne threats and help businesses meet compliance regulations.
319,CA,33.020832,-117.077311,90275,c:885,Solana Beach,Solana Beach CA 90275,Metaplace,1,07-01-06,Still Operating,01-01-07,3/15/2010,0.5041,3.7068,2.9863,4.0219,5,3,9400000,4,CA,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,c:885,1,0,1,1,0,0,4,1,acquired,metaplace,Metaplace is a fast-paced and venture-funded startup developing social games.
320,NY,37.402802,-122.117418,10004,c:1704,New York,New York NY 10004,TravelMuse,1,4/16/2007,Still Operating,05-01-07,06-01-09,0.0411,2.1288,1.7562,4.874,9,3,5600000,4,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:1704,0,0,1,1,0,0,2,1,acquired,travelmuse,TravelMuse is a travel planning website that allows users to research and plan their travels on a single interface.
321,CA,37.782101,-122.389519,94105,c:5986,San Francisco,San Francisco CA 94105,Jambool,1,08-01-06,Still Operating,08-01-08,8/17/2009,2.0027,3.0466,3.5836,5.4767,9,2,6000000,2,CA,1,0,0,0,0,finance,0,0,0,0,0,0,0,0,0,1,c:5986,0,0,1,1,0,0,2.5,1,acquired,jambool,"Jambool operates SocialGold, an industry virtual monetization platform that enables developers to create and manage virtual currency."
322,GA,33.7862629,-84.3877936,30309,c:23756,NW Atlanta,NW Atlanta GA 30309,Zipcar,1,10/31/2000,Still Operating,12/20/2002,12/15/2010,2.137,10.1288,10.4164,12.1863,35,4,60704370,3,GA,0,0,0,0,1,transportation,0,0,0,0,0,0,0,0,0,1,c:23756,1,0,0,1,0,1,2,1,acquired,zipcar,Zipcar is an online car-sharing company allowing individuals to make car reservations that are billable by the hour or day.
323,CA,37.7822788,-122.392978,94107,c:43172,San Francisco,San Francisco CA 94107,Hitpost,1,04-01-09,Still Operating,01-01-10,4/26/2012,0.7534,3.0712,3.9178,4.5041,16,3,2000000,2,CA,1,0,0,0,0,sports,0,0,0,0,0,0,0,0,0,1,c:43172,0,1,0,0,0,0,3.6667,1,acquired,hitpost,Hitpost is an application developer for sports fans that allows fans to connect and compete online.
324,CA,37.778551,-122.391686,94107,c:20637,San Francisco,San Francisco CA 94107,Home-Account,1,11-01-08,Still Operating,4/16/2009,7/16/2009,0.4548,0.7041,0.5808,1.737,5,2,1000000,3,CA,1,0,0,0,0,finance,0,0,0,0,0,0,0,0,0,1,c:20637,1,0,1,0,0,0,5.5,1,acquired,home-account,Home-Account is a mortgage-finding service enabling borrowers to save money and make smart mortgage choices.
325,PA,40.012771,-75.239234,19004,c:20033,Bala Cynwyd,Bala Cynwyd PA 19004,PayParade Pictures,0,10/17/2007,1/27/2012,12-01-08,3/13/2009,1.126,1.4055,0.7918,1.3973,3,2,200000,2,PA,0,0,0,0,1,games_video,0,0,0,0,0,1,0,0,0,0,c:20033,0,1,1,0,0,0,2,1,closed,payparade pictures,PayParade Pictures employs social networks to make direct response marketing more effective for brands and retailers.
