,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,link_name,company_description,name
816,CA,37.7617955,-122.4092704,94110,c:3770,San Francisco,San Francisco CA 94110,Xoopit,1,1/1/2004,Still Operating,12/1/2006,4/2/2008,2.9178,4.2548,2.0027,7.1699,4,2,6500000,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:3770,0,0,1,0,0,0,7,1,acquired,xoopit,Xoopit is an email organizational tool that enables users to retrieve meaningful content from their archived email.,Xoopit
817,CA,37.792871,-122.400747,941017,c:13127,San Francisco,San Francisco CA 941017,One Block Off the Grid (1BOG),1,11/1/2008,Still Operating,2/11/2010,2/11/2010,1.2795,1.2795,2.7041,3.5836,8,1,5000000,3,CA,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,c:13127,0,0,1,0,0,0,1,1,acquired,one block off the grid (1bog),"One Block Off the Grid, a residential solar consultant, provides homeowners the option of comparing quotes from leading solar providers.",One Block Off the Grid (1BOG)
818,WA,39.78373,-100.445882,98104,c:59187,Seattle,Seattle WA 98104,Appature,1,1/1/2007,Still Operating,12/7/2009,7/13/2012,2.9342,5.5342,3.9178,6.1973,6,2,9600000,2,WA,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,c:59187,0,0,1,0,0,0,3,1,acquired,appature,Appature offers enterprise marketing management software and web applications for the healthcare industry.,Appature
819,WA,47.631239,-122.16806,98005,c:253,Bellevue,Bellevue WA 98005,Action Engine,1,2/1/2000,Still Operating,5/1/2000,7/1/2007,0.2466,7.4164,3.9178,10.9233,9,5,58200000,3,WA,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,c:253,0,0,1,1,1,1,1.4,1,acquired,action engine,"Action Engine is an agile software development, design and data services agency",Action Engine
820,MA,42.49739,-71.416794,1720,c:1350,Acton,Acton MA 1720,Blackwave,1,1/1/2006,Still Operating,12/1/2006,9/30/2009,0.9151,3.7479,0.5808,4.8822,14,3,28000000,2,MA,0,0,1,0,0,network_hosting,0,0,0,0,0,0,0,0,0,1,c:1350,0,0,1,1,1,0,2.6667,1,acquired,blackwave,Blackwave provides an integrated infrastructure platform for the storage and delivery of video over IP.,Blackwave
821,TX,33.017317,-96.837682,75244,c:26240,Dallas,Dallas TX 75244,SoftLayer,1,1/1/2005,Still Operating,9/30/2009,3/25/2010,4.7479,5.2301,5.8548,7.7562,10,2,30000000,3,TX,0,0,0,1,0,network_hosting,0,0,0,0,0,0,0,0,0,1,c:26240,1,0,0,0,0,0,1,0,acquired,softlayer,SoftLayer is a cloud-based infrastructure-as-a-service provider integrating physical and virtual devices of enterprises.,SoftLayer
822,CA,34.007967,-118.489681,94301,c:3487,Palo Alto,Palo Alto CA 94301,Mytopia,1,1/1/2007,Still Operating,1/1/2008,3/1/2009,1,2.1644,4.3644,5.3342,10,2,3500000,2,CA,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,c:3487,0,1,1,0,0,0,2,0,acquired,mytopia,Mytopia develops cross-platform games that allow users on social networks to play with others via Android devices or iPads.,Mytopia
823,MA,42.337037,-71.251748,2466,c:2478,Newton,Newton MA 2466,JackPot Rewards,0,1/1/2008,1/1/2012,2/1/2008,2/1/2008,0.0849,0.0849,-1,0.1342,7,1,16700000,2,MA,0,0,1,0,0,web,0,1,0,0,0,0,0,0,0,0,c:2478,0,0,1,0,0,0,4,0,closed,jackpot rewards,JackPot Rewards is an online retail portal providing shopping and sweepstakes loyalty programs.,JackPot Rewards
824,AZ,33.414414,-111.909447,85284,c:42062,Tempe,Tempe AZ 85284,Andigilog,0,1/1/1996,7/8/2012,2/20/2007,2/20/2007,11.1452,11.1452,3.055353048,4.754422568,0,1,18000000,0,AZ,0,0,0,0,1,semiconductor,0,0,0,0,0,0,0,0,0,1,c:42062,0,0,0,1,0,0,7,1,closed,andigilog,"Andigilog, a fabless analog and mixed-signal semiconductor company, provides intelligent thermal management solutions.",Andigilog
825,CA,37.36883,-122.03635,94085,c:51890,Sunnyvale,Sunnyvale CA 94085,BARRX Medical,1,1/1/2003,Still Operating,7/14/2010,7/14/2010,7.537,7.537,7.0055,7.0055,6,1,15000000,1,CA,1,0,0,0,0,medical,0,0,0,0,0,0,0,0,0,1,c:51890,0,0,0,0,0,1,6,1,acquired,barrx medical,"BARRX Medical, Inc. develops endoscopic treatment solutions for Barrett's esophagus and other chronic gastroenterological diseases",BARRX Medical
